granularity,n_features,n,rmse_sb_pct,r2_sb_pct,r2_sb_residual
5 ft  steps,18,1465,0.08252242783906401,0.04663713171361239,0.013454289187206925
10 ft steps,9,1465,0.0827695081668839,0.04091966706493899,0.008304068511922447
15 ft steps,6,1465,0.08277994242322054,0.040677832100647904,0.00852386289348872
30 ft steps,3,1465,0.08330162087089012,0.028548458718994807,0.00041403480990920283
45 ft steps,2,1465,0.08339884183852227,0.02627958198867908,-0.0006268964635012253
