runner_id,season,player_name,sprint_speed,bolts,jump_time,accel_phase,top_speed_phase,total_90,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090,SB,CS,Name,primary_lead,secondary_lead,lead_gain,sb_attempts,era,speed_capped,real_sb_pct,expected_sb_pct,sb_residual,pct_speed,pct_jump,accel_gap,n_attempts,n_success,two_strike_share,avg_pop_faced,avg_pickoff_rate_faced,weak_arm_share,avg_pre_release_velocity,avg_post_release_distance,y,z_sb_residual,z_accel_gap,z_lead_gain,z_primary_lead,z_jump,z_speed_cap,z_pre_rel_vel,z_post_rel_dist,SSSI_v6,rank_v6
647304,2025,Josh Naylor,24.4,0.0,1.87,1.31,2.4399999999999995,4.31,0.56,0.88,1.16,1.41,1.65,1.87,2.08,2.29,2.5,2.69,2.89,3.08,3.28,3.47,3.67,3.87,4.09,4.31,30,2,Josh Naylor,9.807819572,13.682293578,3.874474006,32,post_2023,24.4,0.9160350426403004,0.7937403681468389,0.12229467449346154,1.912568306010929,13.114754098360656,11.202185792349727,1.0,1.0,1.0,1.91,0.02,0.0,3.5474034114631015,41.47755999999999,1,1.3719579077739998,0.6609285635585292,0.17184302345143262,-2.4010556873808833,-2.3149768586130803,-6.146622613087018,0.9699691557136647,-3.700427328965885,1.9027683696849593,1
647304,2026,Josh Naylor,24.5,0.0,1.84,1.29,2.3500000000000005,4.19,0.55,0.87,1.14,1.39,1.62,1.84,2.05,2.26,2.46,2.65,2.84,3.03,3.22,3.41,3.6,3.79,3.99,4.19,12,2,Josh Naylor,9.807819572,13.682293578,3.874474006,14,post_2023,24.5,0.8364892935626904,0.7907758954664024,0.04571339809628805,2.0380434782608696,24.320652173913043,22.282608695652172,1.0,1.0,1.0,1.93,0.0,0.0,2.722176635986791,42.792925,1,0.4352963833089148,1.2300223138103812,0.17184302345143262,-2.4010556873808833,-1.6282850553332602,-5.961029963487603,-0.321690088305149,-3.2440814474471447,1.7818791098712188,2
518692,2024,Freddie Freeman,25.8,0.0,1.81,1.27,2.36,4.17,0.54,0.85,1.12,1.37,1.6,1.81,2.02,2.22,2.42,2.61,2.8,2.99,3.17,3.36,3.55,3.74,3.95,4.17,9,2,Freddie Freeman,12.235060811,16.566962838,4.331902027,11,post_2023,25.8,0.8058310361056948,0.7631231692166809,0.04270786688901396,14.634146341463413,48.49906191369606,33.86491557223265,1.0,1.0,1.0,1.97,0.02,0.0,3.3322323284615383,46.759919999999994,1,0.3985358907332564,1.824892971228743,0.758798369377825,0.47978078822562503,-0.9415932520534401,-3.5483255186952416,0.6331796492848505,-1.867792865756568,1.2575248511235078,3
543877,2021,Christian Vázquez,25.2,0.0,1.93,1.35,2.41,4.34,0.58,0.92,1.2,1.46,1.7,1.93,2.14,2.36,2.56,2.77,2.96,3.16,3.36,3.55,3.74,3.94,4.14,4.34,8,4,Christian Vázquez,10.672651852,14.435207407,3.762555556,12,pre_2023,25.2,0.699605681040654,0.7733739462713309,-0.07376826523067692,8.891013384321225,5.353728489483748,-3.5372848948374767,0.0,0.0,0.55,1.95,0.02,0.2,2.8942735046153847,42.260400000000004,0,-1.0260774953013096,-0.09609494748440944,0.028233254221105036,-1.3746062609808978,-3.6883604651727153,-4.661881416291719,-0.052321088368724,-3.428832897087178,1.2238332776451744,4
665742,2025,Juan Soto,25.8,0.0,1.85,1.2800000000000002,2.3299999999999996,4.18,0.57,0.88,1.16,1.4,1.63,1.85,2.06,2.26,2.46,2.65,2.84,3.02,3.21,3.4,3.59,3.78,3.97,4.18,38,4,Juan Soto,12.057989305,15.170080214,3.112090909,42,post_2023,25.8,0.8913467356955557,0.7631231692166809,0.12822356647887478,11.839708561020036,20.036429872495447,8.196721311475411,1.0,1.0,1.0,1.99,0.02,0.0,1.9431137044205795,46.20779999999999,1,1.4444738707705498,0.5065670317292946,-0.8064198154752389,0.26961871406543947,-1.8571823230932003,-3.5483255186952416,-1.541092884159754,-2.0593425026285592,1.2074333392016021,5
656941,2025,Kyle Schwarber,25.9,0.0,1.79,1.25,2.3,4.09,0.54,0.85,1.12,1.36,1.58,1.79,2.0,2.2,2.39,2.58,2.77,2.95,3.14,3.32,3.5,3.69,3.89,4.09,10,2,Kyle Schwarber,11.027303483,15.459552239,4.432248756,12,post_2023,25.9,0.8172527398641833,0.7618333763202365,0.05541936354394683,13.20582877959927,55.100182149362475,41.8943533697632,0.0,0.0,0.55,1.95,0.02,0.2,3.40942212,46.969649999999994,1,0.5540095312259044,2.2372872370873798,0.8875597183306407,-0.9536784445356437,-0.4837987165335601,-3.362732869095833,0.7539984481259229,-1.7950302320154201,1.172779239395459,6
500743,2024,Miguel Rojas,25.8,0.0,1.88,1.31,2.3600000000000003,4.24,0.57,0.9,1.18,1.43,1.66,1.88,2.1,2.31,2.51,2.7,2.9,3.09,3.28,3.47,3.66,3.85,4.04,4.24,8,2,Miguel Rojas,12.167167785,16.537181208,4.370013423,10,post_2023,25.8,0.7928864385127412,0.7631231692166809,0.029763269296060324,14.634146341463413,11.44465290806754,-3.1894934333958727,0.0,0.0,0.55,1.95,0.02,0.2,3.3615487869230765,44.524350000000005,1,0.24021120504741525,-0.07823227664371578,0.8077015554441581,0.39920012628009793,-2.5438741263730154,-3.5483255186952416,0.6790662779050659,-2.6433898767359088,1.144952246367341,7
663656,2024,Kyle Tucker,26.0,0.0,1.8,1.24,2.2700000000000005,4.07,0.56,0.87,1.13,1.37,1.59,1.8,2.0,2.19,2.38,2.57,2.75,2.94,3.12,3.3,3.48,3.67,3.86,4.07,11,0,Kyle Tucker,10.725296029,13.730761733,3.005465704,11,post_2023,26.0,0.9308310361056948,0.760663203408364,0.17016783269733082,17.917448405253282,54.315196998123824,36.39774859287054,0.0,0.0,0.55,1.95,0.02,0.2,2.3118966953846156,46.897499999999994,1,1.9574919632738819,1.9549800134883792,-0.94323748123264,-1.31212410515185,-0.7126959842935001,-3.177140219496418,-0.9638673584360337,-1.8200615771945736,1.133872183531508,8
592518,2024,Manny Machado,25.8,0.0,1.86,1.3,2.3,4.16,0.56,0.89,1.16,1.41,1.64,1.86,2.07,2.27,2.47,2.66,2.85,3.03,3.22,3.4,3.59,3.77,3.96,4.16,11,2,Manny Machado,11.762858491,15.068075472,3.305216981,13,post_2023,25.8,0.8274053654272843,0.7631231692166809,0.06428219621060338,14.634146341463413,19.324577861163228,4.690431519699814,4.0,3.0,1.0,1.99,0.0016150300007155196,0.75,2.6893137224961086,45.95108999999999,1,0.6624103668763255,0.3264829659418198,-0.558607317783574,-0.08066522161658782,-2.0860795908531404,-3.5483255186952416,-0.3731276897706737,-2.1484041328564234,1.1150992136232878,9
676475,2024,Alec Burleson,25.5,0.0,1.88,1.31,2.3500000000000005,4.23,0.57,0.89,1.17,1.42,1.66,1.88,2.1,2.3,2.5,2.7,2.89,3.09,3.27,3.46,3.65,3.84,4.03,4.23,9,4,Alec Burleson,11.440550725,14.773561594,3.33301087,13,post_2023,25.5,0.7162942543161732,0.7677102678134364,-0.05141601349726321,10.600375234521577,11.44465290806754,0.8442776735459638,2.0,0.0,1.0,2.02,0.0035460992907801418,1.0,3.0844019007616157,45.586349999999996,0,-0.7526882914538354,0.1289433832512606,-0.5229431892569251,-0.46320485292517,-2.5438741263730154,-4.10510346749348,0.24527117079058885,-2.274945128568749,1.1134019781561186,10
