season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,avg_post_release_distance
2015,1,592261,Delino DeShields,30.5,1.68,,,,58.582875,1.95,25,8,0.7603499099392399,-0.07146219646577401,58.582875
2015,2,571740,Billy Hamilton,29.7,1.65,,,,57.915,1.95,57,8,0.8699042368241588,0.0684445820017151,57.915
2015,3,571740,Billy Hamilton,29.7,1.66,,,,57.625425,1.95,57,8,0.8699042368241588,0.0684445820017151,57.625425
2015,4,502481,Jarrod Dyson,29.5,1.63,,,,57.525,1.95,26,3,0.8792146052262093,0.08414686345369882,57.525
2015,5,514917,César Hernández,29.8,1.69,,,,56.9478,1.95,19,5,0.7894240199203834,-0.015411021403883951,56.9478
2015,6,545361,Mike Trout,29.6,1.68,11.370782123,2.511715084,1.932088526153846,56.8542,1.95,11,7,0.6475346338126573,-0.15066925449253477,56.8542
2015,7,488721,Peter Bourjos,29.6,1.7,,,,56.277,1.95,5,8,0.49407203209395095,-0.3041318562112411,56.277
2015,8,605486,Cory Spangenberg,28.8,1.65,,,,56.16,1.95,9,4,0.7162942543161732,-0.060169821295555925,56.16
2015,9,516782,Starling Marte,29.6,1.71,12.167531646,2.556632911,1.9666407007692306,55.9884,1.95,30,10,0.753184368393136,-0.045019519912056105,55.9884
2015,10,543829,Dee Strange-Gordon,29.1,1.68,,,,55.89382500000001,1.95,58,20,0.7457023684059171,-0.03801698708157797,55.89382500000001
2015,11,595281,Kevin Kiermaier,29.6,1.72,,,,55.699799999999996,1.95,18,5,0.7819034492032542,-0.016300439101937902,55.699799999999996
2015,12,542993,Billy Burns,29.1,1.69,,,,55.6101,1.95,26,8,0.766494784043362,-0.01722457144413303,55.6101
2015,13,545350,Jake Marisnick,29.4,1.71,,,,55.610099999999996,1.95,24,9,0.7340341204655557,-0.0580170947588442,55.610099999999996
2015,14,519184,Ben Revere,28.4,1.64,,,,55.379999999999995,1.95,31,7,0.8114720134346771,0.04300696453997643,55.379999999999995
2015,15,514917,César Hernández,29.8,1.75,,,,55.204499999999996,1.95,19,5,0.7894240199203834,-0.015411021403883951,55.204499999999996
2016,1,621439,Byron Buxton,30.7,1.67,13.112712821,2.669117949,2.053167653076923,59.266349999999996,1.95,10,2,0.8172527398641833,-0.02334367928218195,59.266349999999996
2016,2,571740,Billy Hamilton,30.2,1.68,,,,58.00665,1.95,58,8,0.8717365715167763,0.05220378433950923,58.00665
2016,3,609275,Adalberto Mondesi,30.2,1.68,,,,58.00665,1.95,9,1,0.8595531051794079,0.04002031800214079,58.00665
2016,4,571740,Billy Hamilton,30.2,1.68,,,,58.00665,1.95,58,8,0.8717365715167763,0.05220378433950923,58.00665
2016,5,608671,Travis Jankowski,29.5,1.66,,,,57.237375,1.95,30,12,0.7211339697381088,-0.07393377203440166,57.237375
2016,6,542993,Billy Burns,29.3,1.65,,,,57.135,1.95,17,5,0.773825799173745,-0.015328509487116171,57.135
2016,7,543829,Dee Strange-Gordon,29.6,1.68,,,,56.8542,1.95,30,7,0.8069832518497885,0.008779363544596408,56.8542
2016,8,592261,Delino DeShields,29.7,1.71,,,,56.17755,1.95,8,3,0.7433310361056948,-0.0581286187167489,56.17755
2016,9,607208,Trea Turner,30.0,1.73,11.411938596,3.574809942,2.7498538015384613,56.16,1.95,33,6,0.8384840131293436,0.026539338847718863,56.16
2016,10,502481,Jarrod Dyson,28.8,1.65,,,,56.16,1.95,30,7,0.8069832518497885,0.03051917623805933,56.16
2016,11,514917,César Hernández,29.5,1.7,,,,56.086875,1.95,17,13,0.5969513307911748,-0.1981164109813357,56.086875
2016,12,605480,Mallex Smith,29.5,1.7,,,,56.086875,1.95,16,8,0.6859757440583144,-0.10909199771419609,56.086875
2016,13,542979,Keon Broxton,29.7,1.72,,,,55.887975,1.95,23,4,0.8404155180528474,0.038955863230403676,55.887975
2016,14,542993,Billy Burns,29.3,1.71,,,,55.42095,1.95,17,5,0.773825799173745,-0.015328509487116171,55.42095
2016,15,596115,Trevor Story,29.6,1.73,12.970051546,4.217072165,3.2439016653846156,55.411199999999994,1.95,8,5,0.6607386987606176,-0.13746518954457443,55.411199999999994
2017,1,621439,Byron Buxton,30.5,1.69,13.112712821,2.669117949,2.053167653076923,58.2855,1.95,29,1,0.9398084736483177,0.10799636724330375,58.2855
2017,2,605548,Bradley Zimmer,30.0,1.66,,,,58.2075,1.95,18,1,0.9122206907371299,0.1002760164555051,58.2075
2017,3,571740,Billy Hamilton,30.1,1.67,,,,58.10805,1.95,59,13,0.816796059450534,0.0011171387133727118,58.10805
2017,4,605480,Mallex Smith,30.0,1.67,,,,57.915,1.95,16,5,0.7651267914496583,-0.04681788283196642,57.915
2017,5,571740,Billy Hamilton,30.1,1.69,,,,57.5211,1.95,59,13,0.816796059450534,0.0011171387133727118,57.5211
2017,6,607208,Trea Turner,30.3,1.71,11.411938596,3.574809942,2.7498538015384613,57.31245,1.95,46,8,0.8456490945371375,0.02214282093519193,57.31245
2017,7,592261,Delino DeShields,30.0,1.7,,,,57.0375,1.95,29,8,0.7831737280402647,-0.028770946241360007,57.0375
2017,8,572669,Lane Adams,29.9,1.7,,,,56.84737499999999,1.95,10,0,0.9262197718460745,0.11788972403541353,56.84737499999999
2017,9,543829,Dee Strange-Gordon,29.4,1.68,,,,56.47005,1.95,60,16,0.7888061305887792,-0.0032450846356206764,56.47005
2017,10,642708,Amed Rosario,30.1,1.73,11.78327451,3.357009804,2.582315233846154,56.3472,1.95,7,3,0.7262197718460744,-0.08945914889108686,56.3472
2017,11,542979,Keon Broxton,29.9,1.73,,,,55.97279999999999,1.95,21,7,0.7543423205360945,-0.053987727274566466,55.97279999999999
2017,12,545361,Mike Trout,29.3,1.7,11.370782123,2.511715084,1.932088526153846,55.706624999999995,1.95,22,4,0.8352676315384231,0.04611332287756187,55.706624999999995
2017,13,514917,César Hernández,29.4,1.71,,,,55.610099999999996,1.95,15,5,0.7557318631076447,-0.03631935211675519,55.610099999999996
2017,14,434658,Rajai Davis,29.6,1.73,,,,55.411199999999994,1.95,29,7,0.8022755262851492,0.004071637979957132,55.411199999999994
2017,15,622534,Manuel Margot,29.4,1.72,,,,55.323449999999994,1.95,17,7,0.720458502679004,-0.0715927125453959,55.323449999999994
2018,1,609275,Adalberto Mondesi,29.9,1.72,,,,60.995999999999995,2.04,32,7,0.8157567404020708,0.0074266925914098225,60.995999999999995
2018,2,609275,Adalberto Mondesi,29.9,1.65,,,,60.995999999999995,2.04,32,7,0.8157567404020708,0.0074266925914098225,60.995999999999995
2018,3,571740,Billy Hamilton,30.1,1.68,,,,59.741727499999996,2.015,34,10,0.7733325832181861,-0.04234633751897521,59.741727499999996
2018,4,571740,Billy Hamilton,30.1,1.7,,,,59.741727499999996,2.015,34,10,0.7733325832181861,-0.04234633751897521,59.741727499999996
2018,5,608671,Travis Jankowski,29.0,1.66,,,,59.15275,2.05,24,7,0.7748137938247532,-0.006367515052916106,59.15275
2018,6,543829,Dee Strange-Gordon,29.0,1.69,,,,59.1136,2.08,30,12,0.7211339697381088,-0.06004733913956051,59.1136
2018,7,641553,Adam Engel,30.1,1.69,,,,59.069745,2.0025,16,8,0.6859757440583144,-0.1297031766788469,59.069745
2018,8,596115,Trevor Story,29.6,1.71,12.970051546,4.217072165,3.5638702308319283,58.8596,2.05,27,6,0.8129814888866084,0.014777600581416306,58.8596
2018,9,596451,Roman Quinn,30.1,1.66,,,,58.401525,1.95,10,4,0.7312261356679536,-0.08445278506920773,58.401525
2018,10,545361,Mike Trout,29.2,1.68,11.370782123,2.511715084,1.932088526153846,58.38686,2.03,24,2,0.8997837605706812,0.11340673848878857,58.38686
2018,11,660670,Ronald Acuña Jr.,29.6,1.68,12.019437956,3.908908759,3.0068528915384616,58.16622,1.995,16,5,0.7651267914496583,-0.03307709685553373,58.16622
2018,12,593700,Alen Hanson,28.4,1.76,,,,58.149,2.1,7,3,0.7262197718460744,-0.04224527704862624,58.149
2018,13,593700,Alen Hanson,28.4,1.7,,,,58.149,2.1,7,3,0.7262197718460744,-0.04224527704862624,58.149
2018,14,664056,Harrison Bader,30.0,1.73,11.804284211,2.279368421,1.7533603238461537,57.888,2.01,15,3,0.8214476772909182,0.00950300300929341,57.888
2018,15,607208,Trea Turner,30.1,1.73,11.411938596,3.574809942,2.7498538015384613,57.792,2.0,43,9,0.8226894136437038,0.0070104929065425425,57.792
2019,1,607208,Trea Turner,30.3,1.72,11.411938596,3.574809942,2.7498538015384613,60.16027125,2.0575,35,5,0.864295479504247,0.040789205902301395,60.16027125
2019,2,641658,Garrett Hampson,30.1,1.71,,,,59.269909999999996,2.0300000000000002,15,3,0.8214476772909182,0.00576875655375686,59.269909999999996
2019,3,621439,Byron Buxton,30.3,1.71,13.112712821,2.669117949,2.053167653076923,58.782,2.0,14,3,0.8133316626223235,-0.010174610979622134,58.782
2019,4,605480,Mallex Smith,29.4,1.68,,,,58.42478249999999,2.0175,46,9,0.8315549429615187,0.03950372773711874,58.42478249999999
2019,5,641796,Tim Locastro,30.7,1.7,,,,58.36837499999999,1.95,17,0,0.9496952989859598,0.10909887983959454,58.36837499999999
2019,6,609275,Adalberto Mondesi,29.9,1.66,,,,58.01347499999999,1.95,43,7,0.8526053923216567,0.044275344510995684,58.01347499999999
2019,7,542932,Jon Berti,29.8,1.7,,,,57.819449999999996,1.99,17,3,0.8357318631076447,0.03089682178337738,57.819449999999996
2019,8,656185,Greg Allen,29.0,1.71,,,,57.66649999999999,2.05,8,2,0.7928864385127412,0.011705129635071865,57.66649999999999
2019,9,656185,Greg Allen,29.0,1.74,,,,57.66649999999999,2.05,8,2,0.7928864385127412,0.011705129635071865,57.66649999999999
2019,10,621006,Richie Martin Jr.,29.5,1.72,,,,57.50435,2.02,10,1,0.8683310361056948,0.07326329433318435,57.50435
2019,11,502481,Jarrod Dyson,28.4,1.64,,,,56.8,2.0,30,4,0.8690588866074646,0.10059383771276387,56.8
2019,12,622682,Victor Reyes,28.9,1.79,,,,56.613654999999994,2.03,9,3,0.7584292104524186,-0.020333671799995123,56.613654999999994
2019,13,622682,Victor Reyes,28.9,1.72,,,,56.613654999999994,2.03,9,3,0.7584292104524186,-0.020333671799995123,56.613654999999994
2019,14,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.8018293446606102,0.012675035999748951,56.468424999999996
2019,15,609275,Adalberto Mondesi,29.9,1.72,,,,56.26432499999999,1.95,43,7,0.8526053923216567,0.044275344510995684,56.26432499999999
2020,1,596451,Roman Quinn,30.5,1.67,,,,58.880250000000004,1.95,12,0,0.9348997986877128,0.10308769228269887,58.880250000000004
2020,2,607208,Trea Turner,29.9,1.76,11.411938596,3.574809942,2.7498538015384613,55.09822499999999,1.95,12,4,0.7568236465567199,-0.051506401253941125,55.09822499999999
2020,3,609275,Adalberto Mondesi,29.4,1.75,,,,54.463499999999996,1.95,24,8,0.7538728804781383,-0.038178334746261644,54.463499999999996
2020,4,663757,Trent Grisham,29.1,1.74,10.18492145,4.198489426,3.229607250769231,54.191475000000004,1.95,10,1,0.8683310361056948,0.08461168061819979,54.191475000000004
2020,5,542932,Jon Berti,29.2,1.76,,,,53.808299999999996,1.95,9,2,0.8058310361056948,0.019454014023802202,53.808299999999996
2020,6,673357,Luis Robert Jr.,29.1,1.77,10.790703125,3.90459375,3.0035336538461537,53.3403,1.95,9,2,0.8058310361056948,0.02211168061819979,53.3403
2020,7,665487,Fernando Tatis Jr.,29.3,1.79,11.307440154,4.53011583,3.4847044846153845,53.135549999999995,1.95,11,3,0.7838577146153219,-0.005296594045539282,53.135549999999995
2020,8,596115,Trevor Story,28.9,1.79,12.970051546,4.217072165,3.2439016653846156,52.410149999999994,1.95,15,3,0.8214476772909182,0.04268479503850442,52.410149999999994
2020,9,605141,Mookie Betts,28.3,1.78,12.429531646,5.642240506,4.3401850046153845,51.597975,1.95,10,2,0.8172527398641833,0.05048839768731228,51.597975
2020,10,622534,Manuel Margot,28.4,1.79,,,,51.50339999999999,1.95,12,4,0.7568236465567199,-0.011641402337980833,51.50339999999999
2020,11,516782,Starling Marte,28.4,1.8,12.167531646,2.556632911,1.9666407007692306,51.226499999999994,1.95,10,2,0.8172527398641833,0.048787690969482655,51.226499999999994
2020,12,621563,Joey Wendle,28.2,1.79,,,,51.14069999999999,1.95,8,2,0.7928864385127412,0.02770318306912878,51.14069999999999
2020,13,606132,Raimel Tapia,28.1,1.8,,,,50.685375,1.95,8,2,0.7928864385127412,0.029164649817816413,50.685375
2020,14,622682,Victor Reyes,27.9,1.79,,,,50.59664999999999,1.95,8,2,0.7928864385127412,0.03172872336148047,50.59664999999999
2020,15,643396,Isiah Kiner-Falefa,28.1,1.81,12.344880734,4.535688073,3.4889908253846156,50.4114,1.95,8,5,0.6607386987606176,-0.10298308993430716,50.4114
2021,1,642180,Tyler Wade,29.1,1.7,,,,58.3054875,2.0549999999999997,17,6,0.7461891634889685,-0.037530191998526585,58.3054875
2021,2,607208,Trea Turner,30.6,1.75,11.411938596,3.574809942,2.7498538015384613,57.485924999999995,1.9775,32,5,0.8546022994688361,0.0184578466854316,57.485924999999995
2021,3,605548,Bradley Zimmer,29.4,1.68,,,,56.47005,1.95,15,3,0.8214476772909182,0.029396462066518247,56.47005
