season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,jump_time
2017,10,592885,Christian Yelich,28.4,1.7,12.506061728,2.67582716,2.0583285846153845,53.99549999999999,1.95,16,2,0.8649276727306231,0.09650699697902099,1.7
2017,11,453056,Jacoby Ellsbury,28.1,1.7,,,,53.425125,1.95,22,3,0.8631112157601444,0.09941998335420932,1.7
2017,12,572669,Lane Adams,29.9,1.7,,,,56.84737499999999,1.95,10,0,0.9262224315202888,0.11792847257651917,1.7
2017,13,592261,Delino DeShields,30.0,1.7,,,,57.0375,1.95,29,8,0.7831746779239127,-0.0287390445786736,1.7
2017,14,514888,Jose Altuve,28.4,1.7,10.984526531,2.201179592,1.6932150707692306,53.99549999999999,1.95,32,6,0.8347287551814961,0.06630807942989403,1.7
2017,15,458913,Eric Young Jr.,28.9,1.7,,,,54.946124999999995,1.95,12,3,0.7946668236402166,0.015959880614157873,1.7
2018,1,502481,Jarrod Dyson,29.0,1.64,,,,56.55,1.95,16,3,0.8288890197001805,0.04776424396447798,1.64
2018,2,609275,Adalberto Mondesi,29.9,1.65,,,,60.995999999999995,2.04,32,7,0.8157576471091894,0.007463688165419757,1.65
2018,3,641583,Dustin Fowler,29.0,1.66,,,,56.26725,1.95,6,4,0.6595557648536221,-0.12156901088208039,1.66
2018,4,608671,Travis Jankowski,29.0,1.66,,,,59.15275,2.05,24,7,0.7748149020223426,-0.0063098737133598926,1.66
2018,5,596451,Roman Quinn,30.1,1.66,,,,58.401525,1.95,10,4,0.7312282354107543,-0.08442544373556549,1.66
2018,6,605480,Mallex Smith,29.8,1.67,,,,57.23388,1.94,40,12,0.7700585346106024,-0.03473585385926836,1.67
2018,7,645277,Ozzie Albies,28.7,1.68,11.063531599,3.078405204,2.368004003076923,56.821695,2.01,14,3,0.8133334760365606,0.039101619175036295,1.68
2018,8,660670,Ronald Acuña Jr.,29.6,1.68,12.019437956,3.908908759,3.0068528915384616,58.16622,1.995,16,5,0.7651283258770897,-0.033027500899735496,1.68
2018,9,571740,Billy Hamilton,30.1,1.68,,,,59.741727499999996,2.015,34,10,0.7733333974041701,-0.042320281742149746,1.68
2018,10,545361,Mike Trout,29.2,1.68,11.370782123,2.511715084,1.932088526153846,58.38686,2.03,24,2,0.8997850475098171,0.11346402710007653,1.68
2018,11,543829,Dee Strange-Gordon,29.0,1.69,,,,59.1136,2.08,30,12,0.721134818570305,-0.059989957165397456,1.69
2018,12,641553,Adam Engel,30.1,1.69,,,,59.069745,2.0025,16,8,0.6859771197518735,-0.12967655939444633,1.69
2018,13,514888,Jose Altuve,28.1,1.7,10.984526531,2.201179592,1.6932150707692306,55.34295,2.02,17,4,0.8035898643386281,0.03989863193269305,1.7
2018,14,592261,Delino DeShields,29.9,1.7,,,,56.84737499999999,1.95,20,4,0.8239081542346322,0.015614195290862498,1.7
2018,15,571740,Billy Hamilton,30.1,1.7,,,,59.741727499999996,2.015,34,10,0.7733333974041701,-0.042320281742149746,1.7
2019,1,502481,Jarrod Dyson,28.4,1.64,,,,56.8,2.0,30,4,0.8690599095590855,0.10063923380748341,1.64
2019,2,609275,Adalberto Mondesi,29.9,1.66,,,,58.01347499999999,1.95,43,7,0.8526061176873515,0.04431215874358185,1.66
2019,3,605480,Mallex Smith,29.4,1.68,,,,58.42478249999999,2.0175,46,9,0.8315556078800722,0.039557570456624336,1.68
2019,4,543829,Dee Strange-Gordon,28.5,1.7,,,,54.185624999999995,1.95,22,5,0.8091667647751354,0.03892922173847724,1.7
2019,5,544725,Leury García,28.5,1.7,,,,55.852875,2.01,15,5,0.7557334589121733,-0.014504084124484895,1.7
2019,6,592885,Christian Yelich,28.7,1.7,12.506061728,2.67582716,2.0583285846153845,54.006225,1.93,30,2,0.9160361208866037,0.1418042640250794,1.7
2019,7,545361,Mike Trout,29.2,1.7,11.370782123,2.511715084,1.932088526153846,55.801199999999994,1.96,11,2,0.8274075818224629,0.04108656141272227,1.7
2019,8,596115,Trevor Story,29.2,1.7,12.970051546,4.217072165,3.2439016653846156,56.0859,1.97,23,8,0.7470371242445648,-0.0392838961651758,1.7
2019,9,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.801830126917732,0.01273069454359621,1.7
