season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,avg_pre_release_velocity
2015,11,606466,Ketel Marte,28.1,1.75,9.871389474,3.392936842,2.609951416923077,52.05525,1.95,8,4,0.699605681040654,-0.06411610765427078,2.609951416923077
2015,12,606466,Ketel Marte,28.1,1.72,9.871389474,3.392936842,2.609951416923077,52.877175,1.95,8,4,0.699605681040654,-0.06411610765427078,2.609951416923077
2015,13,592518,Manny Machado,27.4,1.78,11.762858491,3.305216981,2.5424746007692307,49.95704999999999,1.95,20,8,0.7240392902330641,-0.032801590789030666,2.5424746007692307
2015,14,543807,George Springer,28.8,1.71,11.20488601,3.301772021,2.5398246315384614,54.475199999999994,1.95,16,4,0.7957318631076447,0.01926778749591551,2.5398246315384614
2015,15,592626,Joc Pederson,27.2,1.76,10.410209945,3.28240884,2.524929876923077,50.1228,1.95,4,7,0.4933310361056949,-0.2626204511567298,2.524929876923077
2016,1,605141,Mookie Betts,27.9,1.74,12.429531646,5.642240506,4.3401850046153845,51.95677499999999,1.95,26,4,0.8540941879340319,0.09293647278277117,4.3401850046153845
2016,2,608070,José Ramírez,27.9,1.77,12.295364583,5.031840278,3.8706463676923075,51.14069999999999,1.95,22,7,0.7615675464026799,0.0004098312514191349,3.8706463676923075
2016,3,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,3.8706463676923075,52.50082499999999,1.95,22,7,0.7615675464026799,0.0004098312514191349,3.8706463676923075
2016,4,547180,Bryce Harper,27.3,1.78,11.668186722,4.916755187,3.7821193746153843,49.774725,1.95,21,10,0.69148046049142,-0.06485591365855425,3.7821193746153843
2016,5,595879,Javier Báez,28.8,1.75,10.957180952,4.696933333,3.6130256407692305,53.352,1.95,12,3,0.7946648288845559,0.018200753272826775,3.6130256407692305
2016,6,592663,J.T. Realmuto,28.8,1.76,12.115241176,4.642758824,3.5713529415384615,53.07119999999999,1.95,12,4,0.7568236465567199,-0.01964042905500929,3.5713529415384615
2016,7,593428,Xander Bogaerts,28.3,1.77,12.125084821,4.347678571,3.3443681315384617,51.8739,1.95,13,4,0.7678771171677781,0.0011127749909070062,3.3443681315384617
2016,8,596115,Trevor Story,29.6,1.73,12.970051546,4.217072165,3.2439016653846156,55.411199999999994,1.95,8,5,0.6607386987606176,-0.13746518954457443,3.2439016653846156
2016,9,553993,Eugenio Suárez,27.4,1.8,10.978256944,3.666729167,2.8205608976923076,49.422749999999986,1.95,11,5,0.7092045989376723,-0.0476362820844225,2.8205608976923076
2016,10,543760,Marcus Semien,28.4,1.76,12.177804233,3.618862434,2.7837403338461537,52.33409999999999,1.95,10,2,0.8172527398641833,0.048787690969482655,2.7837403338461537
2016,11,621043,Carlos Correa,28.0,1.78,10.345008299,3.599082988,2.7685253753846153,51.051,1.95,13,3,0.8044426941757675,0.042062752244960255,2.7685253753846153
2016,12,607208,Trea Turner,30.0,1.73,11.411938596,3.574809942,2.7498538015384613,56.16,1.95,33,6,0.8384840131293436,0.026539338847718863,2.7498538015384613
2016,13,596019,Francisco Lindor,27.1,1.78,12.0631875,3.421482143,2.6319093407692304,49.410075,1.95,19,5,0.7894240199203834,0.033737799560937254,2.6319093407692304
2016,14,596019,Francisco Lindor,27.1,1.74,12.0631875,3.421482143,2.6319093407692304,50.466975,1.95,19,5,0.7894240199203834,0.033737799560937254,2.6319093407692304
2016,15,606466,Ketel Marte,28.4,1.74,9.871389474,3.392936842,2.609951416923077,52.887899999999995,1.95,11,5,0.7092045989376723,-0.059260449957028394,2.609951416923077
2017,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,4.3401850046153845,51.684749999999994,1.95,26,3,0.8792146052262093,0.11805689007494857,4.3401850046153845
2017,2,624428,Adam Frazier,27.5,1.76,12.576537879,5.210234848,4.007872959999999,50.675625,1.95,9,5,0.6785945567205851,-0.07887045115820035,4.007872959999999
2017,3,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,3.8706463676923075,51.412724999999995,1.95,17,5,0.773825799173745,0.012668084022484316,3.8706463676923075
2017,4,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,3.8706463676923075,52.50082499999999,1.95,17,5,0.773825799173745,0.012668084022484316,3.8706463676923075
2017,5,595879,Javier Báez,28.5,1.77,10.957180952,4.696933333,3.6130256407692305,52.24049999999999,1.95,10,3,0.7718498098717288,0.0015644342746274909,3.6130256407692305
2017,6,592663,J.T. Realmuto,28.6,1.76,12.115241176,4.642758824,3.5713529415384615,52.70265,1.95,8,2,0.7928864385127412,0.020661116228668286,3.5713529415384615
2017,7,664023,Ian Happ,28.8,1.75,10.538212454,4.404992674,3.388455903076923,53.352,1.95,8,4,0.699605681040654,-0.07685839457107513,3.388455903076923
2017,8,664023,Ian Happ,28.8,1.76,10.538212454,4.404992674,3.388455903076923,53.07119999999999,1.95,8,4,0.699605681040654,-0.07685839457107513,3.388455903076923
2017,9,593428,Xander Bogaerts,28.3,1.78,12.125084821,4.347678571,3.3443681315384617,51.597975,1.95,15,1,0.8996807894138628,0.1329164472369917,3.3443681315384617
2017,10,518692,Freddie Freeman,26.6,1.81,12.235060811,4.331902027,3.3322323284615383,47.7204,1.95,8,5,0.6607386987606176,-0.09541548685249968,3.3322323284615383
2017,11,593871,Jorge Polanco,28.4,1.77,12.317263158,3.988017544,3.067705803076923,52.057199999999995,1.95,13,5,0.7344911555517877,-0.03397389334291301,3.067705803076923
2017,12,593871,Jorge Polanco,28.4,1.79,12.317263158,3.988017544,3.067705803076923,51.50339999999999,1.95,13,5,0.7344911555517877,-0.03397389334291301,3.067705803076923
2017,13,592450,Aaron Judge,28.0,1.79,10.921927928,3.824536036,2.9419507969230767,50.778,1.95,9,4,0.7162942543161732,-0.04608568761463405,2.9419507969230767
2017,14,543760,Marcus Semien,28.4,1.74,12.177804233,3.618862434,2.7837403338461537,52.887899999999995,1.95,12,1,0.8829609209828398,0.11449587208813916,2.7837403338461537
2017,15,607208,Trea Turner,30.3,1.71,11.411938596,3.574809942,2.7498538015384613,57.31245,1.95,46,8,0.8456490945371375,0.02214282093519193,2.7498538015384613
2018,1,605141,Mookie Betts,28.1,1.75,12.429531646,5.642240506,4.3401850046153845,53.12305,1.99,30,6,0.8266657701875882,0.06294398149266345,4.3401850046153845
2018,2,608070,José Ramírez,27.4,1.74,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420732572820249,0.08523237625993008,3.8706463676923075
2018,3,608070,José Ramírez,27.4,1.76,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420732572820249,0.08523237625993008,3.8706463676923075
