feature,coefficient,naylor_value,league_mean,diff,log_odds_contrib
reaction_quality_z,0.29128058273682816,1.0369964394164217,0.3467252860940849,0.6902711533223369,0.20106258378615274
pitcher_ttp_z,0.26347736794369686,0.5703447113731178,0.25348845800416653,0.3168562533689513,0.08348445165415241
lead_off_dist_z,0.02243451895448699,2.4077031212148583,0.17313561089328644,2.234567510321572,0.05013144716539011
bolts_z,0.002013548571156509,-0.4958021464370106,0.20420720006532886,-0.7000093465023395,-0.0014095028194459872
primary_lead_z,-0.038116245551820534,1.2145988689477116,-0.03312229954987814,1.2477211684975897,-0.04755844643865857
catcher_pop_z,-0.2791861797764615,0.1801859233543546,0.00219359013120181,0.17799233322315278,-0.049692999542070966
maintain_30_90_z,-0.0541787035011625,2.853425573163265,-0.27440467984238487,3.1278302530056497,-0.16946178787955918
lead_gain_z,0.42811587211515734,-0.155434766417966,0.37577297718219643,-0.5312077436001624,-0.22741846642570843
accel_0_30_z,-0.15868613643777296,1.6527546599524954,-0.2718365321958756,1.924591192148371,-0.3054059405041925
speed_capped_z,0.19270056124306767,-4.835373366849929,0.21603927196670658,-5.051412638816635,-0.9734100505702911
