clip_id,pitcher_name,pitcher_id,p_throws,catcher_name,catcher_id,batter_name,play_id,game_pk,at_bat_number,pitch_number
a32b0537_brown_R.mp4,Hunter Brown,686613,R,Yainer Diaz,673237,Michael Harris II,a32b0537-192f-4bd6-9218-83d76b1aa713,746400,2,3
7c15c67b_eflin_R.mp4,Zach Eflin,621107,R,Adley Rutschman,668939,Colt Keith,7c15c67b-b8d1-435d-ab00-02469aa7bc4b,746423,26,8
8c148f19_maeda_R.mp4,Kenta Maeda,628317,R,Carson Kelly,608348,Jhonkensy Noel,8c148f19-a8ab-4779-85fc-5e60f1dedf5f,746451,21,4
96786d3f_flaherty_R.mp4,Jack Flaherty,656427,R,Carson Kelly,608348,Luis Robert Jr.,96786d3f-eeb8-4528-af09-bf073a2dfa8b,746460,23,3
bdb833e1_flaherty_R.mp4,Jack Flaherty,656427,R,Carson Kelly,608348,Kyle Tucker,bdb833e1-af77-4b68-a98c-8252d7bba6a8,746476,16,7
f9c3cc8b_maeda_R.mp4,Kenta Maeda,628317,R,Carson Kelly,608348,Willson Contreras,f9c3cc8b-1642-4a51-949f-2d2827a42965,746478,42,9
db567a85_feltner_R.mp4,Ryan Feltner,663372,R,Elias Díaz,553869,Brandon Nimmo,db567a85-dfc0-424f-984a-9aba56176376,746521,2,6
f408b71d_houck_R.mp4,Tanner Houck,656557,R,Connor Wong,657136,Jacob Stallings,f408b71d-c949-4a86-b999-3d3453f99e83,746526,46,6
0670c556_urena_R.mp4,José Ureña,570632,R,Jonah Heim,641680,Jordan Beck,0670c556-476e-4252-af45-9299d7ac7bcf,746555,54,5
720a57a9_feltner_R.mp4,Ryan Feltner,663372,R,Elias Díaz,553869,Jurickson Profar,720a57a9-5ad6-45bd-a1fc-f3c6dd7d01ed,746566,22,6
8c5f6881_lively_R.mp4,Ben Lively,594902,R,Bo Naylor,666310,Ben Rortvedt,8c5f6881-39e1-4ba6-aa49-aa128a47c044,746585,14,3
fefa9184_gallen_R.mp4,Zac Gallen,668678,R,Tucker Barnhart,571466,Elly De La Cruz,fefa9184-f08d-4b44-9ad2-8981b548456f,746718,22,5
8dbff547_morton_R.mp4,Charlie Morton,450203,R,Travis d'Arnaud,518595,Martín Maldonado,8dbff547-789e-47c5-a994-d9659ee250d7,746817,14,4
a7e30a0f_houck_R.mp4,Tanner Houck,656557,R,Connor Wong,657136,Matt Vierling,a7e30a0f-6bec-4095-81f9-a8833aef1a76,746955,3,7
2cb59489_lively_R.mp4,Ben Lively,594902,R,Austin Hedges,595978,Enmanuel Valdez,2cb59489-0aad-41bf-948a-0b698bbe880c,746973,11,6
ea21ccc4_crawford_R.mp4,Kutter Crawford,676710,R,Connor Wong,657136,Jackson Holliday,ea21ccc4-d416-47e5-97ea-dfb6f73bf1d8,746980,16,5
06c040b2_morton_R.mp4,Charlie Morton,450203,R,Sean Murphy,669221,Edward Olivares,06c040b2-eb73-4927-9519-1d76c9a9e348,747105,10,6
f61d6658_vasquez_R.mp4,Randy Vásquez,681190,R,Kyle Higashioka,543309,Christian Walker,f61d6658-6d35-4ff1-94bc-52688d9e472a,747146,47,7
72e13548_gallen_R.mp4,Zac Gallen,668678,R,Jose Herrera,645444,Willy Adames,72e13548-486e-4e4d-a050-9bc8a8a1a8c7,747151,3,6
518b48d9_feltner_R.mp4,Ryan Feltner,663372,R,Jacob Stallings,607732,Geraldo Perdomo,518b48d9-7e0d-4b31-8d21-866961c325e4,747222,40,8
2a223188_garcia_R.mp4,Luis García,472610,R,Matt Thaiss,642136,Thayron Liranzo,2a223188-acbf-4d0e-9b86-c1ec862d88bd,747801,48,3
82e22f93_flaherty_R.mp4,Jack Flaherty,656427,R,Carson Kelly,608348,José Caballero,82e22f93-2728-49f9-b1d3-38623d82b6ce,747826,21,7
07479006_crawford_R.mp4,Kutter Crawford,676710,R,Reese McGuire,624512,Curtis Mead,07479006-0046-0033-000c-f08cd117d70a,747900,4,3
