runner_id,name,name_tag,team,position,sb,cs,attempts,success_pct,sprint_speed_ftps,sprint_pctile,hp_to_1b_s,seasons
682829,Elly De La Cruz,cruz,CIN,SS,67,16,83,80.7,30.0,98.9,4.21,2024
660271,Shohei Ohtani,ohtani,LAD,DH,59,4,63,93.7,28.1,72.0,4.17,2024
676609,José Caballero,caballero,TB,SS,44,16,60,73.3,28.3,76.8,4.27,2024
668930,Brice Turang,turang,MIL,2B,50,6,56,89.3,29.3,92.9,4.19,2024
665862,Jazz Chisholm Jr.,jr,NYY,3B,40,10,50,80.0,28.6,83.9,4.16,2024
608070,José Ramírez,ramírez,CLE,3B,41,7,48,85.4,28.2,72.6,4.32,2024
657041,Lane Thomas,thomas,CLE,CF,32,14,46,69.6,29.3,94.0,4.38,2024
682998,Corbin Carroll,carroll,AZ,CF,35,8,43,81.4,29.6,96.6,4.09,2024
696285,Jacob Young,young,WSH,CF,33,10,43,76.7,29.7,97.2,4.20,2024
682928,CJ Abrams,abrams,WSH,SS,31,12,43,72.1,28.5,79.6,4.26,2024
677951,Bobby Witt Jr.,jr,KC,SS,31,12,43,72.1,30.5,100.0,4.10,2024
680776,Jarren Duran,duran,BOS,CF,34,7,41,82.9,29.6,96.1,4.13,2024
687263,Zach Neto,neto,LAA,SS,30,10,40,75.0,28.2,74.0,4.37,2024
672580,Maikel Garcia,garcia,KC,3B,37,2,39,94.9,27.9,64.2,4.44,2024
664238,Dylan Moore,moore,SEA,SS,32,6,38,84.2,28.0,67.6,4.38,2024
656775,Cedric Mullins,mullins,BAL,CF,32,6,38,84.2,28.3,76.5,4.28,2024
680118,Dairon Blanco,blanco,KC,X,31,7,38,81.6,29.6,95.6,4.12,2024
666152,David Hamilton,hamilton,BOS,SS,33,4,37,89.2,29.4,94.7,4.09,2024
663538,Nico Hoerner,hoerner,CHC,2B,31,6,37,83.8,28.4,77.9,4.32,2024
645302,Victor Robles,robles,SEA,CF,34,2,36,94.4,27.8,61.9,4.39,2024
681082,Bryson Stott,stott,PHI,2B,32,3,35,91.4,29.1,92.0,4.19,2024
669364,Xavier Edwards,edwards,MIA,SS,31,4,35,88.6,28.4,78.2,4.14,2024
686668,Brenton Doyle,doyle,COL,CF,30,5,35,85.7,29.3,93.6,4.34,2024
665926,Andrés Giménez,giménez,CLE,2B,30,5,35,85.7,28.9,89.9,4.27,2024
683011,Anthony Volpe,volpe,NYY,SS,28,7,35,80.0,28.6,82.8,4.31,2024
596019,Francisco Lindor,lindor,NYM,SS,29,4,33,87.9,27.6,55.2,4.44,2024
664983,Jake McCarthy,mccarthy,AZ,RF,25,6,31,80.6,29.8,98.4,4.20,2024
650859,Luis Rengifo,rengifo,LAA,3B,24,7,31,77.4,26.9,37.2,4.37,2024
691718,Pete Crow-Armstrong,crowarmstrong,CHC,CF,27,3,30,90.0,30.0,99.5,4.10,2024
668227,Randy Arozarena,arozarena,SEA,LF,20,10,30,66.7,28.1,71.3,4.33,2024
679032,Johan Rojas,rojas,PHI,CF,25,4,29,86.2,30.1,99.8,4.24,2024
677594,Julio Rodríguez,rodríguez,SEA,CF,24,5,29,82.8,29.6,95.9,4.28,2024
673357,Luis Robert Jr.,jr,CWS,CF,23,6,29,79.3,28.8,86.5,4.36,2024
665750,Leody Taveras,taveras,TEX,CF,23,6,29,79.3,28.5,81.1,4.31,2024
514888,Jose Altuve,altuve,HOU,2B,22,7,29,75.9,27.1,40.2,4.33,2024
694192,Jackson Chourio,chourio,MIL,LF,22,7,29,75.9,29.7,97.3,4.19,2024
678882,Ceddanne Rafaela,rafaela,BOS,CF,19,10,29,65.5,28.8,88.0,4.17,2024
680869,Zack Gelof,gelof,ATH,2B,25,3,28,89.3,28.7,84.6,4.35,2024
668715,Spencer Steer,steer,CIN,LF,25,3,28,89.3,28.2,74.2,4.44,2024
663368,Blake Perkins,perkins,MIL,CF,23,5,28,82.1,29.6,95.8,4.18,2024
671277,Luis García Jr.,jr,WSH,2B,22,5,27,81.5,27.2,45.5,4.28,2024
673490,Ha-Seong Kim,kim,SD,SS,22,5,27,81.5,28.3,75.4,4.36,2024
666139,Josh Lowe,lowe,TB,RF,25,1,26,96.2,28.4,77.0,4.26,2024
665161,Jeremy Peña,peña,HOU,SS,20,6,26,76.9,29.8,97.9,4.22,2024
642715,Willy Adames,adames,MIL,SS,21,4,25,84.0,27.4,49.9,4.38,2024
683002,Gunnar Henderson,henderson,BAL,SS,21,4,25,84.0,28.9,90.3,4.22,2024
641584,Jake Fraley,fraley,CIN,RF,20,5,25,80.0,28.3,74.9,4.20,2024
664056,Harrison Bader,bader,NYM,CF,17,8,25,68.0,28.2,72.9,4.36,2024
666176,Jo Adell,adell,LAA,RF,15,10,25,60.0,28.8,88.1,4.46,2024
672640,Otto Lopez,lopez,MIA,2B,20,4,24,83.3,28.7,84.4,4.21,2024
665833,Oneil Cruz,cruz,PIT,SS,22,1,23,95.7,28.8,86.4,4.26,2024
672279,Michael Siani,siani,STL,CF,20,3,23,87.0,28.3,75.0,4.30,2024
607208,Trea Turner,turner,PHI,SS,19,4,23,82.6,29.6,96.3,4.22,2024
666181,Will Benson,benson,CIN,LF,16,7,23,69.6,28.8,87.3,4.38,2024
650489,Willi Castro,castro,MIN,SS,14,9,23,60.9,27.9,64.1,4.30,2024
592885,Christian Yelich,yelich,MIL,LF,21,1,22,95.5,28.5,81.2,4.31,2024
694671,Wyatt Langford,langford,TEX,LF,19,3,22,86.4,29.8,98.2,4.25,2024
669016,Brandon Marsh,marsh,PHI,LF,19,3,22,86.4,28.2,72.7,4.38,2024
621020,Dansby Swanson,swanson,CHC,SS,19,3,22,86.4,27.8,61.4,4.38,2024
676356,Jonny DeLuca,deluca,TB,RF,16,6,22,72.7,29.8,98.1,4.22,2024
673548,Seiya Suzuki,suzuki,CHC,RF,16,6,22,72.7,28.3,75.6,4.34,2024
695578,James Wood,wood,WSH,LF,14,8,22,63.6,28.7,85.1,4.18,2024
686217,Sal Frelick,frelick,MIL,RF,18,3,21,85.7,29.3,93.1,4.12,2024
666149,Tyler Fitzgerald,fitzgerald,SF,SS,17,4,21,81.0,30.0,99.1,4.30,2024
642350,Jose Siri,siri,TB,CF,14,7,21,66.7,29.9,98.8,4.21,2024
680700,Richie Palacios,palacios,TB,2B,19,1,20,95.0,27.9,65.8,4.28,2024
593160,Whit Merrifield,merrifield,ATL,2B,17,3,20,85.0,29.0,91.3,4.31,2024
670764,Taylor Walls,walls,TB,SS,16,4,20,80.0,27.8,62.5,4.35,2024
660670,Ronald Acuña Jr.,jr,ATL,RF,16,3,19,84.2,27.7,58.8,4.46,2024
