count_label,n_pitches,n_attempts,attempt_rate,is_HL
3-2,72699,1400,0.019257486347817713,True
2-2,124279,359,0.0028886618012697236,False
0-2,120282,342,0.0028433182022247717,False
1-2,155607,427,0.00274409248941243,False
0-0,479731,0,0.0,False
0-1,226431,0,0.0,False
1-0,175678,0,0.0,False
1-1,167107,0,0.0,False
2-0,59188,0,0.0,False
2-1,84073,0,0.0,False
3-0,19161,0,0.0,False
3-1,34626,0,0.0,False
