season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,accel_0_30
2018,1,502481,Jarrod Dyson,29.0,1.64,,,,,,16,3,0.8289023501037636,0.04769888728830329,1.64
2018,2,609275,Adalberto Mondesi,29.9,1.65,,,,60.995999999999995,2.04,32,7,0.8157649182384165,0.007431548611341543,1.65
2018,3,596451,Roman Quinn,30.1,1.66,,,,,,10,4,0.7312450738152803,-0.08443593164058893,1.66
2018,4,641583,Dustin Fowler,29.0,1.66,,,,,,6,4,0.659577093499355,-0.12162636931610527,1.66
2018,5,608671,Travis Jankowski,29.0,1.66,,,,59.15275,2.05,24,7,0.7748237889580646,-0.006379673857395685,1.66
2018,6,605480,Mallex Smith,29.8,1.67,,,,57.23388,1.94,40,12,0.7700641474121109,-0.034775236252625796,1.67
2018,7,545361,Mike Trout,29.2,1.68,11.370782123,2.511715084,1.932088526153846,58.38686,2.03,24,2,0.8997953678222685,0.11340225260272674,1.68
2018,8,660670,Ronald Acuña Jr.,29.6,1.68,12.019437956,3.908908759,3.0068528915384616,58.16622,1.995,16,5,0.7651406308650125,-0.03307044477916754,1.68
2018,9,645277,Ozzie Albies,28.7,1.68,11.063531599,3.078405204,2.368004003076923,56.821695,2.01,14,3,0.8133480182950148,0.03902987432537941,1.68
2018,10,571740,Billy Hamilton,30.1,1.68,,,,59.741727499999996,2.015,34,10,0.7733399265814351,-0.04234107887443406,1.68
2018,11,543829,Dee Strange-Gordon,29.0,1.69,,,,59.1136,2.08,30,12,0.7211416255849005,-0.0600618372305598,1.69
2018,12,641553,Adam Engel,30.1,1.69,,,,59.069745,2.0025,16,8,0.6859881518100113,-0.12969285364585792,1.69
2018,13,592261,Delino DeShields,29.9,1.7,,,,,,20,4,0.8239191862927698,0.015585816665694918,1.7
2018,14,514888,Jose Altuve,28.1,1.7,10.984526531,2.201179592,1.6932150707692306,55.34295,2.02,17,4,0.8036021693265509,0.03981768791149354,1.7
2018,15,656185,Greg Allen,28.9,1.7,,,,57.622987499999994,2.045,21,4,0.8297885467496775,0.05100007818419905,1.7
2019,1,502481,Jarrod Dyson,28.4,1.64,,,,56.8,2.0,30,4,0.8690681128843672,0.1005562960481986,1.64
2019,2,609275,Adalberto Mondesi,29.9,1.66,,,,,,43,7,0.8526119345907331,0.04427856496365823,1.66
2019,3,605480,Mallex Smith,29.4,1.68,,,,58.42478249999999,2.0175,46,9,0.8315609400415054,0.03949862054572395,1.68
2019,4,543829,Dee Strange-Gordon,28.5,1.7,,,,,,22,5,0.8091767625778227,0.038849391331871375,1.7
2019,5,544725,Leury García,28.5,1.7,,,,55.852875,2.01,15,5,0.755746256099613,-0.014581115146338308,1.7
2019,6,592885,Christian Yelich,28.7,1.7,12.506061728,2.67582716,2.0583285846153845,54.006225,1.93,30,2,0.9160447676348735,0.14172662366523814,1.7
2019,7,545361,Mike Trout,29.2,1.7,11.370782123,2.511715084,1.932088526153846,55.801199999999994,1.96,11,2,0.827425355693907,0.041032240474365156,1.7
2019,8,596115,Trevor Story,29.2,1.7,12.970051546,4.217072165,3.2439016653846156,56.0859,1.97,23,8,0.7470460111802868,-0.03934710403925501,1.7
2019,9,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.8018364000488298,0.01266862667518831,1.7
2019,10,669242,Tommy Edman,29.4,1.7,,,,55.323449999999994,1.93,15,1,0.8996979239281108,0.10763560443232933,1.7
2019,11,641796,Tim Locastro,30.7,1.7,,,,,,17,0,0.9497116546586511,0.10911043048344438,1.7
2019,12,571740,Billy Hamilton,29.5,1.7,,,,,,22,6,0.7846562546209189,-0.010420498965040825,1.7
2019,13,542932,Jon Berti,29.8,1.7,,,,57.819449999999996,1.99,17,3,0.8357462560996131,0.03090687243487633,1.7
2019,14,641355,Cody Bellinger,28.8,1.71,10.205975831,2.989776435,2.299828026923077,55.592639999999996,1.99,15,5,0.755746256099613,-0.020747106183924724,1.71
2019,15,621439,Byron Buxton,30.3,1.71,13.112712821,2.669117949,2.053167653076923,58.782,2.0,14,3,0.8133480182950148,-0.010160174861808535,1.71
2020,1,596451,Roman Quinn,30.5,1.67,,,,,,12,0,0.9349209648523721,0.10310603212243741,1.67
2020,2,663757,Trent Grisham,29.1,1.74,10.18492145,4.198489426,,,,10,1,0.8683535251556453,0.08461518012216485,1.74
2020,3,609275,Adalberto Mondesi,29.4,1.75,,,,,,24,8,0.7538826054727115,-0.038179714023069966,1.75
2020,4,607208,Trea Turner,29.9,1.76,11.411938596,3.574809942,,,,12,4,0.7568407810709679,-0.051492588556107055,1.76
2020,5,542932,Jon Berti,29.2,1.76,,,,,,9,2,0.8058535251556453,0.01946040993610354,1.76
2020,6,673357,Luis Robert Jr.,29.1,1.77,10.790703125,3.90459375,,,,9,2,0.8058535251556453,0.022115180122164846,1.77
2020,7,608070,José Ramírez,27.2,1.78,12.295364583,5.031840278,,,,10,3,0.7718698001383514,0.01579337471248332,1.78
2020,8,542340,Jonathan Villar,27.0,1.78,,,,,,16,5,0.7651406308650125,0.009458339121639736,1.78
2020,9,605141,Mookie Betts,28.3,1.78,12.429531646,5.642240506,,,,10,2,0.8172739060288426,0.050457755634417345,1.78
2020,10,665487,Fernando Tatis Jr.,29.3,1.79,11.307440154,4.53011583,,,,11,3,0.7838766527626487,-0.005291120610992794,1.79
2020,11,596115,Trevor Story,28.9,1.79,12.970051546,4.217072165,,,,15,3,0.8214633218474054,0.042674853281926994,1.79
2020,12,622534,Manuel Margot,28.4,1.79,,,,,,12,4,0.7568407810709679,-0.011671035765200788,1.79
2020,13,621563,Joey Wendle,28.2,1.79,,,,,,8,2,0.7929104268326884,0.02767005491196628,1.79
2020,14,622682,Victor Reyes,27.9,1.79,,,,,,8,2,0.7929104268326884,0.031678062524839956,1.79
2020,15,516782,Starling Marte,28.4,1.8,12.167531646,2.556632911,,,,10,2,0.8172739060288426,0.048762089192673996,1.8
2021,1,502481,Jarrod Dyson,27.9,1.67,,,,,,10,5,0.6946828201245163,-0.06654954418333214,1.67
2021,2,605548,Bradley Zimmer,29.4,1.68,,,,,,15,3,0.8214633218474054,0.029401002351624017,1.68
2021,3,642423,Magneuris Sierra,28.8,1.69,,,,,,11,0,0.9308535251556453,0.15436016287210763,1.69
2021,4,663757,Trent Grisham,28.8,1.7,10.18492145,4.198489426,3.229607250769231,56.230199999999996,2.0025,13,5,0.7345068001082751,-0.04198656217526264,1.7
2021,5,621433,Brett Phillips,28.5,1.7,,,,55.4360625,1.995,14,3,0.8133480182950148,0.0430206470490635,1.7
2021,6,642180,Tyler Wade,29.1,1.7,,,,58.3054875,2.0549999999999997,17,6,0.7462020143746545,-0.037536330658826,1.7
2021,7,656775,Cedric Mullins,28.5,1.71,12.201346821,3.753213873,2.8870875946153847,55.29,2.0,30,8,0.7882245674997749,0.017897196253823577,1.71
2021,8,668731,Akil Baddoo,28.8,1.71,,,,55.59264,1.99,18,4,0.8108761630551973,0.03438280077165956,1.71
2021,9,645277,Ozzie Albies,28.4,1.72,11.063531599,3.078405204,2.368004003076923,53.89846666666666,1.9666666666666666,20,4,0.8239191862927698,0.055407369456601185,1.72
2021,10,669242,Tommy Edman,28.9,1.72,,,,53.517019999999995,1.9699999999999998,30,5,0.847341410062258,0.0685529414967796,1.72
2021,11,665750,Leody Taveras,29.7,1.72,11.69019171,3.285606218,2.5273893984615383,54.440099999999994,1.95,10,1,0.8683535251556453,0.0668882394852075,1.72
2021,12,643217,Andrew Benintendi,27.6,1.72,11.935697248,2.335362385,1.7964326038461536,54.000434999999996,2.0275,8,9,0.5406207455677421,-0.21768260283959173,1.72
2021,13,660670,Ronald Acuña Jr.,29.4,1.72,12.019437956,3.908908759,,,,17,6,0.7462020143746545,-0.04586030512112693,1.72
2021,14,665926,Andrés Giménez,29.1,1.73,11.260161491,4.077695652,3.136688963076923,55.59264,1.99,11,0,0.9308535251556453,0.14711518012216485,1.73
2021,15,665862,Jazz Chisholm Jr.,29.1,1.73,12.165130769,5.637923077,4.336863905384615,54.54504,1.9525,23,8,0.7470460111802868,-0.036692333853193704,1.73
2022,1,670764,Taylor Walls,28.8,1.7,12.974603659,4.370176829,,,,10,3,0.7718698001383514,-0.004623562145186333,1.7
2022,2,623205,Andrew Velazquez,29.1,1.7,,,,56.6031375,1.995,17,1,0.9084198435865359,0.12468149855305544,1.7
2022,3,660644,Vidal Bruján,28.5,1.71,,,,53.90774999999999,1.95,5,5,0.5929104268326884,-0.17741694441326294,1.71
