epoch,feature,importance
full,sprint_speed,0.23128139618973406
full,speed_capped,0.11030796642972815
full,accel_0_30,0.16238936140061494
full,accel_5_30,0.11898309727451081
full,maintain_30_90,0.10896832754444716
full,total_90,0.1684704294173703
full,accel_gap,0.267445549549084
full,bolts,0.11372400658916396
full,r_primary_lead,0.23450729488506927
full,r_secondary_lead,0.2799523409851292
full,r_sec_minus_prim_lead,0.15414889853546831
full,pre_rel_vel_avg,0.16812580734695035
full,post_rel_dist_avg,0.32339498288890706
full,avg_pop_faced,0.18353075035193708
full,pct_in_HL,0.15681535855976528
full,n_attempts,0.16770952332747074
pre_2023,sprint_speed,0.15475060024017787
pre_2023,speed_capped,0.08613070219566155
pre_2023,accel_0_30,0.2172180565969404
pre_2023,accel_5_30,0.16070744383254548
pre_2023,maintain_30_90,0.06438586708455613
pre_2023,total_90,0.22838682375926608
pre_2023,accel_gap,0.3186090916628906
pre_2023,bolts,0.47395302912849685
pre_2023,r_primary_lead,0.26067811964867454
pre_2023,r_secondary_lead,0.5158968242626929
pre_2023,r_sec_minus_prim_lead,0.44706548491879666
pre_2023,pre_rel_vel_avg,0.3927131205841707
pre_2023,post_rel_dist_avg,0.520507582830112
pre_2023,avg_pop_faced,0.3193306213090731
pre_2023,pct_in_HL,0.3286659841510144
pre_2023,n_attempts,0.4877208594775729
post_2023,sprint_speed,0.31152205678942435
post_2023,speed_capped,0.1456190571506703
post_2023,accel_0_30,0.21063965158590495
post_2023,accel_5_30,0.053966681502277264
post_2023,maintain_30_90,0.13040294597730714
post_2023,total_90,0.26374014412459285
post_2023,accel_gap,0.30054733263325006
post_2023,bolts,0.1651261783161575
post_2023,r_primary_lead,0.3441443592943352
post_2023,r_secondary_lead,0.3256191294534994
post_2023,r_sec_minus_prim_lead,0.2466795941497067
post_2023,pre_rel_vel_avg,0.27985361612137716
post_2023,post_rel_dist_avg,0.2646797427485759
post_2023,avg_pop_faced,0.2999192045452027
post_2023,pct_in_HL,0.09938700618973675
post_2023,n_attempts,0.06874309285802589
