path,n_feat,r2_resid,r2_pct
v4 baseline (4 derived),4,-0.0013481218178519327,0.026153686658498043
A — 18 raw splits,18,0.01320734675807067,0.044048354028811465
B — quadratic curve,4,0.004558525865690055,0.005069713856670766
C — 3-PCA,3,0.00916246455575298,0.04789822279785738
