play_id,pitcher,pitcher_name,catcher,catcher_name,batter,batter_name,p_throws,ab_number,pitch_number,inning,des,start_speed,pitch_type,call_name,game_pk,at_bat_number,_is_naylor,_clip_prefix,clip_id,is_naylor,mp4_url,downloaded
6f46c564-be95-3225-9e84-13a6a10e283b,680742,Jonathan Bowlan,695600,Carter Jensen,680718,Addison Barger,R,60,4,7,"Vladimir Guerrero Jr. caught stealing 2nd base, catcher Carter Jensen to shortstop Bobby Witt Jr.",82.5,CU,Ball,776229,60,0,vladdy,vladdy_6f46c564_bowlan_R.mp4,0,https://sporty-clips.mlb.com/OHlCWHZfWGw0TUFRPT1fQUZkVlVnY0JVQVlBV2djTFV3QUhBd1JUQUZoUVcxVUFBMVpVQmxJRUFWWlhDQUVF.mp4,True
48792f2e-9133-35d4-bf43-47bffdbf7861,691172,Yosver Zulueta,624431,Jose Trevino,672386,Alejandro Kirk,R,82,5,9,Alejandro Kirk walks.,88.6,SL,Ball,776491,82,0,vladdy,vladdy_48792f2e_zulueta_R.mp4,0,https://sporty-clips.mlb.com/QndvbGRfWGw0TUFRPT1fQWdsV1hWWlNWRmNBQVZNQlZRQUhCRkpTQUFOVFYxSUFCbEpYVmxWUlUxVlNDQVJY.mp4,True
04152a7f-4532-3bcd-80c6-832553c08556,680732,Sean Burke,691019,Kyle Teel,666182,Bo Bichette,R,26,2,4,Bo Bichette singles on a line drive to right fielder Mike Tauchman. Vladimir Guerrero Jr. scores.,94.1,SI,Ball,777212,26,0,vladdy,vladdy_04152a7f_burke_R.mp4,0,https://sporty-clips.mlb.com/ek1MazdfWGw0TUFRPT1fQmdWUVVWWlZVVlFBREZjQlZBQUhVMVVDQUZrRkFGY0FDbFlIQlFZR1VnTmRCUWRR.mp4,True
08ca2f2e-07dd-36df-9646-423fecc50ee8,678394,Brayan Bello,657136,Connor Wong,672386,Alejandro Kirk,R,4,5,1,Alejandro Kirk walks.,90.0,FC,Ball,777345,4,0,vladdy,vladdy_08ca2f2e_bello_R.mp4,0,https://sporty-clips.mlb.com/M3k0VzFfWGw0TUFRPT1fQmdrQ0JWWlNWRmNBQ0ZWV0FnQUhCMUlBQUZnRFYxY0FCbGNHVmxaV1VnWlZWVmRl.mp4,True
615a5fa5-f8a4-308e-b1b2-384598d7226e,593958,Eduardo Rodriguez,645444,Jose Herrera,672386,Alejandro Kirk,L,7,7,1,"Alejandro Kirk strikes out swinging and Vladimir Guerrero Jr. caught stealing 2nd, catcher Jose Herrera to second baseman Ketel Marte to catcher Jose Herrera.",91.9,SI,Strike,777462,7,0,vladdy,vladdy_615a5fa5_rodriguez_L.mp4,0,https://sporty-clips.mlb.com/cU82V2dfWGw0TUFRPT1fQUFCVUJWRlNCd2NBWGxwVFVnQUhBUTREQUFNRUFWTUFBVjBCQlFvTlZRUlhBZ1FE.mp4,True
7391d322-a1bd-3997-b32f-a85acc7e4df6,669461,Matthew Liberatore,650968,Yohel Pozo,672386,Alejandro Kirk,L,35,3,4,Alejandro Kirk strikes out swinging.,87.0,SL,Ball,777545,35,0,vladdy,vladdy_7391d322_liberatore_L.mp4,0,https://sporty-clips.mlb.com/M3k0WWpfWGw0TUFRPT1fQVFKWVZRQUhWQUFBV1ZOUUFnQUhDQTlSQUFNR1VRY0FVMTBBVVZCV0JsWlJWRlJR.mp4,True
565559e5-b074-3cf2-a0b0-bf47ff181d6f,605447,Jordan Romano,665561,Rafael Marchán,680718,Addison Barger,R,63,2,9,Addison Barger strikes out swinging.,97.1,FF,Ball,777651,63,0,vladdy,vladdy_565559e5_romano_R.mp4,0,https://sporty-clips.mlb.com/NHlNS3hfWGw0TUFRPT1fQXdkVVVWRU5Bd2NBV2xJRlVnQUhVbEJVQUFBRkFWRUFVQU1CQjFWVEFBdFVWQVFB.mp4,True
91317944-ec65-3cca-8dce-f83e4ec08b6b,675911,Spencer Strider,669221,Sean Murphy,665926,Andrés Giménez,R,24,1,3,Andrés Giménez lines out to center fielder Michael Harris II.,94.6,FF,Strike,778297,24,0,vladdy,vladdy_91317944_strider_R.mp4,0,https://sporty-clips.mlb.com/SzRkb2FfWGw0TUFRPT1fRHdCU1ZWTU5VZ1lBWFFFRVV3QUhVbFVIQUZsUkFBUUFWRjBHVlFkUVVnTmRVZ1FF.mp4,True
