metric,value
n_attempts,128
n_sb,108
n_cs,20
loo_auc_BASE,0.8384
loo_auc_+DELIVERY,0.8218
loo_auc_+VELOCITY,0.8208
loo_auc_delta_velocity_minus_base,-0.0176
univariate_auc_avg_velocity_ftps,0.7523
univariate_auc_delivery_s,0.5292
univariate_auc_gain_to_release_ft,0.7861
univariate_auc_lead_at_firstmove_ft,0.7109
univariate_auc_lead_at_release_ft,0.8579
runvalue_R2_BASE,0.1392
runvalue_R2_+DELIVERY,0.1396
runvalue_R2_+VELOCITY,0.1397
corr_velocity_runvalue,0.269
