date,pitcher_name,result,avg_velocity_ftps,lead_at_release_ft,delivery_s,analysis_method,soto_sprint_speed_ftps,soto_secondary_lead_sbx_ft
2026-05-16,"Doval, Camilo",SB,18.963,43.2,1.466,full,25.9,35.4
2026-05-21,"Beeter, Clayton",SB,10.055,27.6,1.1437,full,25.9,35.4
