date,pitcher_name,result,avg_velocity_ftps,lead_at_release_ft,delivery_s,analysis_method,runner_sprint_speed_ftps,runner_secondary_lead_sbx_ft
2025-08-18,"Hill, Jaden",SB,15.228,25.2,0.8668,full,25.6,25.88
2025-08-12,"García, Luis",SB,15.071,27.3,1.0152,full,25.6,25.88
2025-07-23,"Coulombe, Danny",SB,11.388,25.6,1.2733,full,25.6,25.88
2025-07-05,"Valdez, Framber",SB,10.673,25.4,1.3586,full,25.6,25.88
2025-04-15,"Bird, Jake",CS,9.846,21.0,0.9547,full,25.6,25.88
2025-05-11,"Castillo, José",BK,,,,full,25.6,25.88
