feature,importance
gain_to_release_ft,0.33603904
base_is_3b,0.1458907
sprint_speed,0.10496152
bolts,0.09919588
lead_at_firstmove_ft,0.09602547
accel_gap,0.07612185
primary_lead,0.07274703
lead_gain,0.06901854
