date,play_id,pitcher_id,pitcher_name,catcher_id,catcher_name,fielder_name,base,result,run_value,lead_at_firstmove_ft,gain_to_release_ft,lead_at_release_ft
2025-03-27,3894b152-758f-309b-a700-d687904cda59,595014,"Treinen, Blake",669257,"Smith, Will",,2B,SB,0.197,9.9,17.5,27.4
2025-04-22,98e86d9d-8def-391e-b023-a3efc0400315,601713,"Pivetta, Nick",553869,"Díaz, Elias","Bogaerts, Xander",2B,SB,0.198,13.9,18.7,32.6
2025-04-29,9f92858e-cdcb-3136-b026-da26cd99b71f,656986,"Sousa, Bennett",673237,"Diaz, Yainer",,3B,SB,0.196,18.2,24.8,43.0
2025-05-25,ec5d841c-c7ec-3a2c-bb4d-eade67e579ab,671106,"Allen, Logan",595978,"Hedges, Austin","Arias, Gabriel",2B,CS,-0.447,9.6,10.0,19.7
