clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,pitcher_track_id,status
5c19401f_wilson_R.mp4,Bryse Wilson,669060.0,William Contreras,661388.0,5c19401f-feea-4500-b47d-acd3518af0df,745965.0,70.0,4.0,R,59.727,650,394,394,3,0,[0:394],41,115.98,180.5,1.0802,leg_lift,115.98,42.0,extension_collapse,0.828,True,True,True,True,1.0,2029,ok
5c298e7e_crawford_R.mp4,Kutter Crawford,676710.0,Danny Jansen,643376.0,5c298e7e-8159-429a-81a5-069660177306,745693.0,13.0,3.0,R,59.702,560,149,43,5,2,[278:427],391,388.5,425.0,0.6114,leg_lift,388.5,405.0,extension_collapse,0.18,True,False,True,False,0.35,2205,ok
650ed646_houck_R.mp4,Tanner Houck,656557.0,Reese McGuire,624512.0,650ed646-92b3-4f82-b4a7-8e78327759f8,745914.0,8.0,6.0,R,59.722,770,258,258,3,0,[0:258],8,111.45,181.5,1.1729,leg_lift,111.45,129.0,extension_collapse,0.905,True,True,True,True,1.0,2323,ok
720a57a9_feltner_R.mp4,Ryan Feltner,663372.0,Elias Díaz,553869.0,720a57a9-5ad6-45bd-a1fc-f3c6dd7d01ed,746566.0,22.0,6.0,R,59.717,482,437,45,2,1,[45:482],50,285.96,338.5,0.8798,leg_lift,285.96,,extension_collapse,0.771,True,True,True,True,1.0,2441,ok
72e13548_gallen_R.mp4,Zac Gallen,668678.0,Jose Herrera,645444.0,72e13548-486e-4e4d-a050-9bc8a8a1a8c7,747151.0,3.0,6.0,R,59.764,962,440,440,5,0,[0:440],141,139.5,237.5,1.6397,leg_lift,139.5,246.0,extension_collapse,0.626,True,True,True,True,1.0,2443,ok
7a8fbf89_bassitt_R.mp4,Chris Bassitt,605135.0,Danny Jansen,643376.0,7a8fbf89-18ec-4936-b99c-92327d16de22,744907.0,12.0,6.0,R,59.628,506,258,258,2,0,[0:258],83,141.16,236.28,1.5952,leg_lift,141.16,99.0,extension_collapse,0.313,True,True,True,True,1.0,2522,ok
7c15c67b_eflin_R.mp4,Zach Eflin,621107.0,Adley Rutschman,668939.0,7c15c67b-b8d1-435d-ab00-02469aa7bc4b,746423.0,26.0,8.0,R,59.67,526,526,-1,1,0,[0:526],21,121.05,184.5,1.0633,leg_lift,121.05,133.0,extension_collapse,0.906,True,True,True,True,1.0,2543,ok
836d520f_urena_R.mp4,José Ureña,570632.0,Andrew Knizner,668800.0,836d520f-c796-4126-be1d-5daa14dedd94,745000.0,42.0,4.0,R,59.732,562,536,536,2,0,[0:536],91,121.46,177.5,0.9382,leg_lift,121.46,146.0,extension_collapse,0.949,True,True,True,True,1.0,2720,ok
8c148f19_maeda_R.mp4,Kenta Maeda,628317.0,Carson Kelly,608348.0,8c148f19-a8ab-4779-85fc-5e60f1dedf5f,746451.0,21.0,4.0,R,59.713,538,297,63,3,1,[63:360],75,161.37,235.5,1.2415,leg_lift,161.37,192.0,extension_collapse,0.919,True,True,True,True,1.0,2777,ok
8c5f6881_lively_R.mp4,Ben Lively,594902.0,Bo Naylor,666310.0,8c5f6881-39e1-4ba6-aa49-aa128a47c044,746585.0,14.0,3.0,R,59.624,416,195,67,3,1,[67:262],82,84.97,182.5,1.6357,leg_lift,84.97,150.0,extension_collapse,0.904,True,True,True,True,1.0,2895,ok
8c62e264_pagan_R.mp4,,,,,,,,,R,59.686,536,40,496,2,1,[496:536],501,501.0,505.12,0.0691,motion_onset,,,extension_collapse,0.725,True,False,True,False,0.75,2959,ok
