play_id,pitcher,pitcher_name,catcher,catcher_name,batter,batter_name,p_throws,ab_number,pitch_number,inning,des,start_speed,pitch_type,call_name,game_pk,at_bat_number,clip_id,mp4_url,downloaded
8c62e264-07d2-4ed6-a9e7-25e53392d226,641941,Emilio Pagán,663886,Tyler Stephenson,606192,Teoscar Hernández,R,10,1,1,Teoscar Hernández lines out sharply to second baseman Santiago Espinal.,92.9,FF,Strike,746150,10,8c62e264_pagan_R.mp4,https://sporty-clips.mlb.com/TndlSzJfWGw0TUFRPT1fRGxKWFZnRUdVQVlBQ0ZWV1ZBQUFWRkpRQUFBTUJsWUFBRkJRQlFBR0NBRUJBZ0JR.mp4,False
d9c74db4-42a3-4cda-a2c8-8a86b3a669e4,598264,Matt Barnes,656180,Riley Adams,518692,Freddie Freeman,R,49,2,6,Freddie Freeman strikes out swinging.,90.4,FF,Ball,746158,49,d9c74db4_barnes_R.mp4,https://sporty-clips.mlb.com/UGpMbGRfWGw0TUFRPT1fVWdnQ1UxQlFCQVlBREZCVFZRQUFVbElIQUFBSEFGa0FDZ1FOQmxFR1VBVlRDVmRT.mp4,False
d7686082-3711-4fd7-b971-cb743eb9a1ee,663362,Matt Waldron,543309,Kyle Higashioka,669257,Will Smith,R,7,7,1,"Will Smith grounds out, third baseman Eguy Rosario to first baseman Jake Cronenworth.",93.8,SI,Ball,746161,7,d7686082_waldron_R.mp4,https://sporty-clips.mlb.com/VmcwbndfWGw0TUFRPT1fVWdaWFhGSUVYZ0FBQzFVRFZ3QUFWMUpSQUFNTVZGQUFVUWNDQkFCUVV3b0VBVmNE.mp4,False
