metric,value
n_attempts,35
n_sb,32
n_cs,3
loo_auc_BASE,0.8646
loo_auc_+DELIVERY,0.9167
loo_auc_+VELOCITY,0.9375
loo_auc_delta_velocity_minus_base,0.0729
univariate_auc_avg_velocity_ftps,0.8542
univariate_auc_delivery_s,0.7812
univariate_auc_gain_to_release_ft,0.9271
univariate_auc_lead_at_firstmove_ft,0.5625
univariate_auc_lead_at_release_ft,0.9583
runvalue_R2_BASE,0.2092
runvalue_R2_+DELIVERY,0.2521
runvalue_R2_+VELOCITY,0.3579
corr_velocity_runvalue,0.2653
