runner_id,season,team
542340,2016,MIL
571740,2016,CIN
516782,2016,PIT
434658,2016,CLE
456488,2016,MIN
541650,2016,MIL
516416,2016,AZ
607208,2016,WSH
502671,2016,AZ
514888,2016,HOU
502481,2016,KC
608671,2016,SD
543829,2016,MIA
545361,2016,LAA
571976,2016,SD
425834,2016,TOR
605141,2016,BOS
546318,2016,PHI
462101,2016,TEX
547982,2016,SEA
542979,2016,MIL
608070,2016,CLE
435622,2016,TEX
547180,2016,WSH
595281,2016,TB
572008,2016,AZ
606299,2016,CIN
453056,2016,NYY
543281,2016,PIT
596019,2016,CLE
572821,2016,MIN
460576,2016,TEX
453568,2016,COL
542993,2016,ATH
444876,2016,KC
520471,2016,PHI
514917,2016,PHI
570256,2016,PIT
460075,2016,MIL
458731,2016,NYY
542255,2016,ATL
605480,2016,ATL
456422,2016,BAL
453943,2016,CWS
543401,2016,CLE
457727,2016,DET
434636,2016,SF
456715,2016,KC
594809,2016,CWS
435079,2016,DET
596059,2016,TEX
449181,2016,KC
408252,2016,CIN
607680,2016,TOR
519184,2016,WSH
572191,2016,WSH
593428,2016,BOS
621043,2016,HOU
451594,2016,CHC
595879,2016,CHC
503556,2016,HOU
592663,2016,MIA
543685,2016,WSH
542454,2016,MIN
452655,2016,SF
518792,2016,CHC
518934,2016,COL
606466,2016,SEA
573135,2016,CWS
553993,2016,CIN
641313,2016,CWS
621439,2016,MIN
424825,2016,ATH
435062,2016,LAD
545350,2016,HOU
543760,2016,ATH
592743,2016,LAA
400085,2016,MIA
506560,2016,SD
598265,2016,BOS
457787,2016,WSH
609275,2016,KC
519083,2016,SD
434670,2016,BOS
408314,2016,NYM
607387,2016,TEX
543807,2016,HOU
453211,2016,ATL
457708,2016,DET
592885,2016,MIA
488818,2016,ATL
501659,2016,CLE
606115,2016,MIL
592178,2016,CHC
592261,2016,TEX
622110,2016,TB
571697,2016,MIL
460086,2016,KC
452104,2016,NYY
593160,2016,KC
543590,2016,MIL
542364,2016,LAA
493351,2016,TB
502210,2016,ATH
461865,2016,DET
596115,2016,COL
458015,2016,CIN
571437,2016,PHI
493114,2016,SEA
485567,2016,TOR
543063,2016,SF
518626,2016,TOR
544369,2016,NYY
578428,2016,DET
543434,2016,CWS
456030,2016,BOS
572039,2016,STL
519306,2016,TB
543939,2016,STL
453923,2016,SF
488721,2016,PHI
465041,2016,PIT
502082,2016,CLE
425783,2016,TEX
594807,2016,CIN
523253,2016,TB
545338,2016,TB
518692,2016,ATL
596146,2016,MIN
571875,2016,AZ
457705,2016,PIT
543543,2016,TB
571980,2016,CLE
502523,2016,SEA
467827,2016,COL
592626,2016,LAD
457763,2016,SF
450314,2016,CHC
605113,2016,AZ
452678,2016,NYM
621311,2016,COL
545341,2016,STL
543333,2016,KC
502517,2016,WSH
435063,2016,CLE
605412,2016,SF
607054,2016,ATL
624577,2016,LAD
596451,2016,PHI
276519,2016,CWS
592696,2016,MIN
608365,2016,CHC
467793,2016,CLE
543768,2016,BOS
572204,2016,LAD
605509,2016,SF
150029,2016,WSH
457803,2016,NYM
446359,2016,CIN
457477,2016,NYM
649557,2016,STL
624428,2016,PIT
541645,2016,CWS
543213,2016,LAA
434158,2016,NYM
431094,2016,MIL
571788,2016,BOS
501571,2016,NYM
489149,2016,TB
593871,2016,MIN
572073,2016,BAL
581527,2016,TOR
457759,2016,LAD
547172,2016,COL
455759,2016,BOS
430947,2016,ATL
446386,2016,TB
543305,2016,NYY
425877,2016,STL
519203,2016,CHC
453203,2016,LAA
608369,2016,LAD
543776,2016,CWS
571448,2016,COL
594777,2016,LAA
596847,2016,LAA
543068,2016,LAA
543257,2016,MIN
570267,2016,MIL
594988,2016,CIN
519333,2016,CHC
630111,2016,AZ
543829,2017,MIA
571740,2017,CIN
607208,2017,WSH
593160,2017,KC
457727,2017,HOU
514888,2017,HOU
621439,2017,MIN
434658,2017,ATH
592261,2017,TEX
502481,2017,SEA
605141,2017,BOS
456715,2017,KC
462101,2017,TEX
502054,2017,STL
456488,2017,SF
408314,2017,NYM
458731,2017,NYY
606299,2017,CIN
542340,2017,MIL
453056,2017,NYY
542255,2017,ATL
516416,2017,SEA
545361,2017,LAA
542979,2017,MIL
516782,2017,PIT
519184,2017,LAA
643217,2017,BOS
571976,2017,SD
572041,2017,AZ
592743,2017,LAA
502671,2017,AZ
605548,2017,CLE
608324,2017,HOU
622534,2017,SD
608070,2017,CLE
621035,2017,LAD
572191,2017,WSH
572821,2017,MIN
595281,2017,TB
605480,2017,TB
519306,2017,TB
592885,2017,MIA
641313,2017,CWS
453923,2017,AZ
593428,2017,BOS
435622,2017,COL
514917,2017,PHI
596019,2017,CLE
596059,2017,TEX
607680,2017,TOR
624577,2017,LAD
570267,2017,MIL
606115,2017,MIL
453568,2017,COL
520471,2017,PHI
435079,2017,DET
457708,2017,DET
460576,2017,TEX
593871,2017,MIN
541650,2017,MIL
460075,2017,MIL
425783,2017,TEX
543281,2017,PIT
491676,2017,SF
435062,2017,PHI
600301,2017,SEA
572008,2017,AZ
543760,2017,ATH
452655,2017,SF
458913,2017,LAA
430947,2017,SD
488726,2017,CLE
593700,2017,CWS
457705,2017,PIT
408252,2017,ATL
605486,2017,SD
572669,2017,ATL
493114,2017,TOR
641355,2017,LAD
595879,2017,CHC
485567,2017,TOR
594694,2017,WSH
543305,2017,NYY
519203,2017,CHC
543768,2017,MIL
624428,2017,PIT
452104,2017,NYY
592450,2017,NYY
592518,2017,BAL
545350,2017,HOU
425877,2017,STL
592696,2017,MIN
605509,2017,SF
501303,2017,MIN
645277,2017,ATL
598265,2017,BOS
641553,2017,CWS
518692,2017,ATL
544725,2017,CWS
503556,2017,HOU
664023,2017,CHC
546318,2017,PHI
444482,2017,AZ
570256,2017,PIT
592663,2017,MIA
572073,2017,BAL
570560,2017,CWS
543939,2017,STL
446381,2017,TOR
592178,2017,CHC
451594,2017,STL
608336,2017,TEX
460086,2017,KC
578428,2017,DET
501571,2017,NYM
547982,2017,SEA
502210,2017,HOU
543685,2017,WSH
642708,2017,NYM
542454,2017,ATL
596115,2017,COL
457759,2017,LAD
543877,2017,BOS
430832,2017,TOR
542921,2017,TB
571718,2017,WSH
434158,2017,NYM
545341,2017,STL
576397,2017,STL
543333,2017,KC
445055,2017,CHC
592444,2017,DET
596146,2017,MIN
543401,2017,CLE
571875,2017,AZ
518934,2017,COL
446334,2017,TB
543484,2017,DET
457763,2017,SF
461865,2017,DET
400284,2017,LAD
571437,2017,PHI
488721,2017,TB
594777,2017,LAA
575929,2017,CHC
594807,2017,CIN
500871,2017,MIN
541645,2017,CWS
502226,2017,BAL
571745,2017,SEA
571918,2017,BOS
543543,2017,TB
609275,2017,KC
621433,2017,MIL
573135,2017,CWS
467793,2017,CLE
594988,2017,CIN
543807,2017,HOU
606132,2017,COL
458015,2017,CIN
488818,2017,ATL
605131,2017,LAD
592206,2017,DET
592230,2017,LAA
572816,2017,TB
649557,2017,STL
640447,2017,CIN
444876,2017,KC
457787,2017,TB
453943,2017,NYY
592325,2017,SEA
547180,2017,WSH
588751,2017,MIA
518792,2017,CHC
459964,2017,ATH
605412,2017,SF
592626,2017,LAD
456030,2017,BOS
517369,2017,SD
608701,2017,NYY
608369,2017,LAD
553993,2017,CIN
519346,2017,MIL
581527,2017,TOR
150029,2017,WSH
605113,2017,AZ
571448,2017,COL
474832,2017,SF
452678,2017,NYM
543063,2017,SF
543068,2017,LAA
605233,2017,HOU
523253,2017,LAD
571697,2017,CIN
572365,2017,TOR
493329,2017,HOU
660162,2017,CWS
572039,2017,STL
519299,2017,MIL
621020,2017,ATL
455759,2017,BOS
605137,2017,PIT
467827,2017,COL
452254,2017,SF
488862,2017,LAA
628338,2017,SEA
593160,2018,KC
607208,2018,WSH
605480,2018,TB
542340,2018,MIL
571740,2018,CIN
608070,2018,CLE
516782,2018,PIT
609275,2018,KC
605141,2018,BOS
456715,2018,MIL
543829,2018,SEA
542255,2018,ATL
596115,2018,COL
641313,2018,CWS
596019,2018,CLE
608671,2018,SD
642708,2018,NYM
572191,2018,WSH
545361,2018,LAA
606299,2018,CIN
592885,2018,MIL
656185,2018,CLE
643217,2018,BOS
595879,2018,CHC
434658,2018,CLE
592261,2018,TEX
435622,2018,COL
516416,2018,SEA
514917,2018,PHI
514888,2018,HOU
598265,2018,BOS
660670,2018,ATL
502481,2018,AZ
641553,2018,CWS
458731,2018,NYY
435079,2018,BOS
621563,2018,TB
664056,2018,STL
578428,2018,DET
502054,2018,TB
624577,2018,LAD
645277,2018,ATL
641355,2018,LAD
592518,2018,LAD
457705,2018,NYY
607680,2018,TOR
543760,2018,ATH
570560,2018,CWS
547180,2018,WSH
592444,2018,DET
571976,2018,SD
607054,2018,NYY
572041,2018,AZ
453568,2018,COL
488726,2018,CLE
572821,2018,MIN
622110,2018,TB
544725,2018,CWS
502226,2018,BAL
592348,2018,DET
460086,2018,KC
460576,2018,TB
660162,2018,CWS
596059,2018,TEX
570256,2018,PIT
460075,2018,MIL
543305,2018,NYY
622534,2018,SD
572008,2018,AZ
467827,2018,COL
541650,2018,MIL
608324,2018,HOU
594694,2018,WSH
518692,2018,ATL
544369,2018,NYY
595281,2018,TB
664068,2018,PHI
457727,2018,MIA
660271,2018,LAA
595777,2018,TEX
596451,2018,PHI
592743,2018,LAA
621020,2018,ATL
594809,2018,WSH
453943,2018,NYM
643393,2018,HOU
607043,2018,NYM
622682,2018,DET
452655,2018,TB
621035,2018,LAD
593428,2018,BOS
572816,2018,PIT
444876,2018,KC
520471,2018,SD
571745,2018,SEA
664023,2018,CHC
491676,2018,SF
592696,2018,MIN
457708,2018,LAA
606115,2018,MIL
592325,2018,SEA
502671,2018,AZ
593700,2018,SF
571788,2018,BOS
543333,2018,SD
430945,2018,BAL
643396,2018,TEX
543401,2018,CLE
657656,2018,ATH
547982,2018,DET
643446,2018,NYM
456488,2018,BOS
593871,2018,MIN
502210,2018,HOU
596103,2018,SF
519346,2018,MIL
642715,2018,TB
641343,2018,TB
453923,2018,SF
594777,2018,LAA
516770,2018,MIA
425783,2018,TEX
640447,2018,CIN
641583,2018,ATH
592450,2018,NYY
518934,2018,COL
545350,2018,HOU
606466,2018,AZ
502110,2018,BOS
517369,2018,SD
519203,2018,CHC
500743,2018,MIA
519306,2018,AZ
605486,2018,SD
543807,2018,HOU
596119,2018,BOS
650402,2018,NYY
543939,2018,STL
501303,2018,MIN
605113,2018,AZ
462101,2018,TEX
542979,2018,MIL
621439,2018,MIN
614173,2018,SD
621311,2018,COL
646240,2018,BOS
621453,2018,SF
451594,2018,STL
471865,2018,COL
493329,2018,HOU
606192,2018,TOR
546318,2018,PHI
656555,2018,PHI
640457,2018,TB
622168,2018,STL
542364,2018,MIA
452254,2018,SF
408314,2018,NYM
543768,2018,MIL
665742,2018,WSH
519317,2018,NYY
458913,2018,LAA
605131,2018,LAD
430832,2018,ATL
572761,2018,STL
575929,2018,CHC
543063,2018,SF
518586,2018,ATL
571697,2018,CIN
571718,2018,WSH
445055,2018,KC
596146,2018,MIN
543484,2018,DET
425877,2018,STL
519058,2018,MIL
605412,2018,SF
434670,2018,BOS
572073,2018,BAL
594988,2018,CIN
656941,2018,CHC
543877,2018,BOS
605548,2018,CLE
571437,2018,PHI
623520,2018,CHC
600869,2018,DET
624424,2018,NYM
649557,2018,TOR
608336,2018,TEX
545341,2018,TOR
594011,2018,KC
457706,2018,SF
457763,2018,SF
592663,2018,MIA
645302,2018,WSH
642423,2018,MIA
581527,2018,TOR
450314,2018,CHC
605119,2018,MIA
605137,2018,PIT
457803,2018,NYM
592178,2018,CHC
465041,2018,PIT
641531,2018,KC
500871,2018,MIN
503556,2018,HOU
628338,2018,SEA
656775,2018,BAL
592626,2018,LAD
605480,2019,SEA
609275,2019,KC
542340,2019,BAL
660670,2019,ATL
607208,2019,WSH
462101,2019,TEX
502481,2019,AZ
592885,2019,MIL
645302,2019,WSH
516782,2019,PIT
502054,2019,TB
592261,2019,TEX
608070,2019,CLE
543939,2019,STL
596115,2019,COL
571740,2019,ATL
596019,2019,CLE
543829,2019,SEA
542454,2019,TEX
622534,2019,SD
593160,2019,KC
595281,2019,TB
