runner_id,season,sprint_speed_all
682829,2023,30.5
677951,2023,30.5
680118,2023,30.3
607208,2023,30.3
669352,2023,30.2
666149,2023,30.1
622761,2023,30.1
682998,2023,30.1
663368,2023,30.0
691783,2023,30.0
664983,2023,30.0
696285,2023,30.0
686668,2023,29.9
641658,2023,29.8
676356,2023,29.7
642350,2023,29.7
678225,2023,29.7
656537,2023,29.7
665923,2023,29.6
640492,2023,29.6
694497,2023,29.6
677594,2023,29.6
679032,2023,29.5
680776,2023,29.5
681987,2023,29.5
545361,2023,29.5
665161,2023,29.4
668930,2023,29.4
642708,2023,29.4
685133,2023,29.4
678894,2023,29.3
542932,2023,29.3
657041,2023,29.3
663853,2023,29.3
664314,2023,29.3
621439,2023,29.3
669003,2023,29.3
665487,2023,29.3
641796,2023,29.2
624641,2023,29.2
664057,2023,29.2
677347,2023,29.2
665926,2023,29.2
677941,2023,29.2
691026,2023,29.2
664059,2023,29.2
666152,2023,29.2
656413,2023,29.2
664702,2023,29.2
676694,2023,29.2
665750,2023,29.1
663837,2023,29.1
682622,2023,29.1
677649,2023,29.1
669392,2023,29.1
680869,2023,29.0
668731,2023,29.0
680911,2023,29.0
680574,2023,29.0
666176,2023,29.0
678009,2023,29.0
676609,2023,29.0
608671,2023,29.0
642180,2023,28.9
686759,2023,28.9
656541,2023,28.9
667472,2023,28.9
686894,2023,28.9
681546,2023,28.9
641505,2023,28.9
676059,2023,28.9
687799,2023,28.9
666181,2023,28.8
669242,2023,28.8
681082,2023,28.8
595281,2023,28.8
669743,2023,28.8
671739,2023,28.8
669369,2023,28.8
572041,2023,28.8
677950,2023,28.8
693304,2023,28.8
670042,2023,28.8
596115,2023,28.8
683002,2023,28.8
621438,2023,28.8
664056,2023,28.8
593160,2023,28.8
545350,2023,28.8
666139,2023,28.7
679881,2023,28.7
678882,2023,28.7
672724,2023,28.7
656308,2023,28.7
572191,2023,28.7
543760,2023,28.7
663630,2023,28.7
671221,2023,28.7
673357,2023,28.7
606132,2023,28.7
665833,2023,28.7
592663,2023,28.6
666160,2023,28.6
670156,2023,28.6
658668,2023,28.6
691406,2023,28.6
671289,2023,28.6
666624,2023,28.6
682928,2023,28.6
650489,2023,28.6
669016,2023,28.6
606192,2023,28.6
686217,2023,28.6
676946,2023,28.6
678545,2023,28.6
669261,2023,28.6
656716,2023,28.5
595751,2023,28.5
691023,2023,28.5
663538,2023,28.5
686452,2023,28.5
641933,2023,28.5
656305,2023,28.5
669701,2023,28.5
676724,2023,28.5
673548,2023,28.5
656448,2023,28.5
673490,2023,28.5
669127,2023,28.4
668227,2023,28.4
666134,2023,28.4
683011,2023,28.4
621545,2023,28.4
663550,2023,28.4
641525,2023,28.4
667452,2023,28.4
457705,2023,28.4
668715,2023,28.4
665862,2023,28.4
621020,2023,28.4
623205,2023,28.4
669707,2023,28.4
676391,2023,28.4
691176,2023,28.3
624415,2023,28.3
657136,2023,28.3
686823,2023,28.3
641531,2023,28.3
666703,2023,28.3
641355,2023,28.3
642137,2023,28.3
622534,2023,28.3
669222,2023,28.3
670770,2023,28.3
621035,2023,28.3
541645,2023,28.3
630105,2023,28.3
675961,2023,28.2
644374,2023,28.2
672580,2023,28.2
663624,2023,28.2
668904,2023,28.2
670764,2023,28.2
680779,2023,28.2
669364,2023,28.2
657088,2023,28.2
641943,2023,28.2
607680,2023,28.2
676801,2023,28.2
687401,2023,28.1
682985,2023,28.1
596019,2023,28.1
596117,2023,28.1
595879,2023,28.1
680757,2023,28.1
592885,2023,28.1
666906,2023,28.1
643289,2023,28.1
670097,2023,28.1
662139,2023,28.1
681481,2023,28.1
666915,2023,28.1
663586,2023,28.1
605113,2023,28.1
678662,2023,28.1
621433,2023,28.1
672284,2023,28.0
642731,2023,28.1
669477,2023,28.0
680700,2023,28.0
621028,2023,28.0
669911,2023,28.0
672356,2023,28.0
641584,2023,28.0
655316,2023,28.0
660757,2023,28.0
640458,2023,28.0
607054,2023,28.0
670242,2023,28.0
606992,2023,28.0
660670,2023,28.0
669394,2023,28.0
686676,2023,28.0
665877,2023,28.0
677592,2023,28.0
656775,2023,28.0
645302,2023,28.0
607043,2023,28.0
621493,2023,28.0
592696,2023,28.0
571976,2023,28.0
663611,2023,28.0
689172,2023,27.9
679631,2023,27.9
681297,2023,27.9
622569,2023,27.9
656514,2023,27.9
669397,2023,27.9
678246,2023,27.9
657656,2023,27.9
681351,2023,27.9
665828,2023,27.8
592192,2023,27.8
623912,2023,27.8
663697,2023,27.8
660271,2023,27.8
680814,2023,27.8
665506,2023,27.8
663457,2023,27.8
608070,2023,27.8
543257,2023,27.8
621563,2023,27.8
502054,2023,27.8
682848,2023,27.8
543807,2023,27.8
668804,2023,27.8
664023,2023,27.7
621550,2023,27.7
596103,2023,27.7
677595,2023,27.7
656811,2023,27.7
682641,2023,27.7
640449,2023,27.7
650559,2023,27.7
663757,2023,27.7
664238,2023,27.7
687263,2023,27.7
643396,2023,27.7
681962,2023,27.7
670032,2023,27.7
624414,2023,27.7
606466,2023,27.7
609280,2023,27.7
656669,2023,27.6
672820,2023,27.6
593428,2023,27.6
666185,2023,27.6
670712,2023,27.6
595909,2023,27.6
663796,2023,27.6
672779,2023,27.6
664029,2023,27.6
664728,2023,27.6
594807,2023,27.6
663743,2023,27.6
673237,2023,27.6
687952,2023,27.6
642715,2023,27.6
696100,2023,27.6
593871,2023,27.6
669004,2023,27.6
592325,2023,27.6
645277,2023,27.6
547180,2023,27.6
453568,2023,27.6
665019,2023,27.5
677551,2023,27.5
676480,2023,27.5
660821,2023,27.5
600869,2023,27.5
669720,2023,27.4
671732,2023,27.4
602074,2023,27.4
614173,2023,27.4
542194,2023,27.4
545341,2023,27.4
664770,2023,27.4
666165,2023,27.4
516416,2023,27.4
676914,2023,27.4
596146,2023,27.4
677587,2023,27.4
666310,2023,27.4
664954,2023,27.4
650859,2023,27.4
624503,2023,27.4
643446,2023,27.4
679529,2023,27.4
664040,2023,27.3
572204,2023,27.3
666969,2023,27.3
666801,2023,27.3
675656,2023,27.3
664913,2023,27.3
657077,2023,27.3
686681,2023,27.3
643565,2023,27.3
543305,2023,27.3
643217,2023,27.3
676116,2023,27.3
641343,2023,27.3
683146,2023,27.3
663993,2023,27.3
676369,2023,27.2
656248,2023,27.3
666135,2023,27.2
605141,2023,27.2
665155,2023,27.2
679845,2023,27.2
671277,2023,27.2
628451,2023,27.2
672695,2023,27.2
542364,2023,27.2
641313,2023,27.2
493329,2023,27.2
668670,2023,27.2
592206,2023,27.2
687093,2023,27.2
672515,2023,27.2
605361,2023,27.2
669257,2023,27.2
666164,2023,27.2
668709,2023,27.2
500871,2023,27.1
643376,2023,27.1
682073,2023,27.1
681146,2023,27.1
680977,2023,27.1
656896,2023,27.1
666211,2023,27.1
641856,2023,27.1
663647,2023,27.1
666182,2023,27.1
518792,2023,27.1
516782,2023,27.1
656582,2023,27.1
682617,2023,27.1
667670,2023,27.1
598265,2023,27.1
666023,2023,27.1
666971,2023,27.1
608701,2023,27.1
622110,2023,27.0
668843,2023,27.0
681807,2023,27.0
666397,2023,27.0
668939,2023,27.0
545121,2023,27.0
573262,2023,27.0
663728,2023,27.0
444482,2023,27.0
693049,2023,27.0
592656,2023,27.0
592273,2023,26.9
671218,2023,26.9
663845,2023,26.9
663886,2023,26.9
514888,2023,26.9
683737,2023,26.9
571771,2023,26.9
570731,2023,26.9
571970,2023,26.9
660644,2023,26.9
650907,2023,26.9
665742,2023,26.8
669289,2023,26.9
657557,2023,26.8
596059,2023,26.8
673962,2023,26.8
694384,2023,26.8
677588,2023,26.8
592669,2023,26.8
663616,2023,26.7
641487,2023,26.7
575929,2023,26.7
677800,2023,26.7
668942,2023,26.7
671056,2023,26.7
669224,2023,26.7
602104,2023,26.7
592450,2023,26.7
518692,2023,26.7
543939,2023,26.7
571745,2023,26.7
623993,2023,26.7
686527,2023,26.7
678554,2023,26.7
621043,2023,26.6
572816,2023,26.6
669304,2023,26.6
663656,2023,26.6
664761,2023,26.6
650490,2023,26.6
660707,2023,26.6
624585,2023,26.6
608336,2023,26.6
666197,2023,26.6
624428,2023,26.5
571657,2023,26.5
657757,2023,26.5
650391,2023,26.5
614177,2023,26.5
543281,2023,26.5
543685,2023,26.5
462101,2023,26.5
680777,2023,26.5
663698,2023,26.5
600301,2023,26.5
661388,2023,26.5
605131,2023,26.5
605612,2023,26.5
666198,2023,26.4
660162,2023,26.4
542303,2023,26.4
669357,2023,26.5
665839,2023,26.4
641511,2023,26.4
592178,2023,26.4
666150,2023,26.4
500743,2023,26.4
665489,2023,26.4
676701,2023,26.4
650402,2023,26.4
502671,2023,26.4
572233,2023,26.4
664874,2023,26.4
592626,2023,26.4
605119,2023,26.4
682626,2023,26.4
675986,2023,26.4
553993,2023,26.4
663898,2023,26.3
608324,2023,26.3
668472,2023,26.3
643265,2023,26.3
621466,2023,26.3
642336,2023,26.3
592518,2023,26.3
668901,2023,26.3
670541,2023,26.3
665120,2023,26.2
543592,2023,26.2
669087,2023,26.2
608369,2023,26.2
621566,2023,26.2
643393,2023,26.2
656180,2023,26.2
570482,2023,26.2
672275,2023,26.2
807799,2023,26.2
446334,2023,26.2
664058,2023,26.2
543228,2023,26.2
474832,2023,26.2
650333,2023,26.1
656976,2023,26.2
666018,2023,26.1
543510,2023,26.1
676632,2023,26.1
518595,2023,26.1
660620,2023,26.1
656024,2023,26.1
624424,2023,26.1
670623,2023,26.1
502110,2023,26.1
572138,2023,26.0
608596,2023,26.0
664774,2023,26.0
649966,2023,26.0
660766,2023,26.0
572287,2023,26.0
646240,2023,26.0
665804,2023,26.0
613564,2023,26.0
624413,2023,26.0
649557,2023,26.0
571912,2023,26.0
669221,2023,26.0
683021,2023,26.0
605137,2023,25.9
681584,2023,25.9
467793,2023,25.9
606115,2023,25.9
624512,2023,25.9
543543,2023,25.9
623507,2023,25.9
668800,2023,25.9
641857,2023,25.8
647304,2023,25.8
641680,2023,25.8
686469,2023,25.8
605204,2023,25.8
543063,2023,25.8
666163,2023,25.8
642086,2023,25.8
669134,2023,25.8
641598,2023,25.7
663527,2023,25.7
608348,2023,25.7
623168,2023,25.7
518934,2023,25.7
691016,2023,25.7
676475,2023,25.6
608841,2023,25.6
458015,2023,25.6
543309,2023,25.6
595777,2023,25.6
660634,2023,25.6
547989,2023,25.5
664901,2023,25.6
641645,2023,25.5
683734,2023,25.5
663905,2023,25.5
607461,2023,25.5
641820,2023,25.4
595956,2023,25.4
456781,2023,25.4
645444,2023,25.4
488726,2023,25.4
672478,2023,25.3
572761,2023,25.3
573131,2023,25.2
457759,2023,25.2
593643,2023,25.2
571875,2023,25.1
519058,2023,25.2
660688,2023,25.1
687462,2023,25.1
641432,2023,25.1
686531,2023,25.0
553869,2023,25.0
543333,2023,25.0
594777,2023,25.0
543877,2023,25.0
664034,2023,25.0
605170,2023,25.0
656941,2023,25.0
543068,2023,25.0
