play_id,is_lhp,bat_side_r,pitch_code,balls,strikes,outs,inning,score_diff
61534fd3-cd65-4ca3-a030-6d6af1ba05a9,1,1,FC,0,1,2,2,0
42b15ef9-d13a-427a-a8d9-8f70950d7e13,0,1,FF,1,0,2,3,6
c9449f35-7d17-4440-821b-f5179196a57e,0,1,SL,0,2,0,2,0
38833bb8-31e3-4966-8f63-7a0502322794,1,1,FF,1,0,1,3,0
f9979bde-3b59-4e74-8576-74885897143b,1,1,,0,0,2,8,4
c5bc58a4-ecf7-4f3b-a2ab-1bc0ce05b2f6,1,1,,0,0,2,8,4
4d171b6c-1dd8-3175-b375-64c1d639c7cd,1,0,SI,2,2,1,7,0
e5609b1f-5ee4-3ec8-a671-944359379088,0,1,FC,0,1,2,4,2
cc260085-eb71-31fe-b6ac-6969b68166fd,0,0,ST,0,1,0,4,3
684f2022-8170-3431-9e76-2f1b3c0646da,1,0,,3,2,0,3,-1
32ab8adc-8150-3f8d-8ef3-e85cede297c1,0,0,FF,2,2,1,6,4
3e60230f-46ff-4f7f-a27b-e5f6d10647b5,0,1,KC,0,1,2,9,4
b1443601-87e2-416e-9a86-02b7c9634bb0,1,0,FF,2,2,2,2,-1
32fa3168-ccf5-4c6d-9030-c21bf0992b34,1,1,FF,2,2,2,2,-2
e8e326bf-d24f-4350-8549-6d8e995c2a26,0,1,SL,2,2,0,8,1
d4a7477f-3bcd-4ddb-948e-5736059c4922,1,1,FF,3,1,1,4,0
01e5083b-ae80-4bf8-8fd8-28596aaf2a98,1,1,FF,1,0,2,9,4
477d5669-ddc8-47dd-8ae4-e454c3f882f6,0,0,ST,3,1,1,3,2
d379ba05-0a9d-40ed-896c-b3811aefb5ba,0,0,CH,2,1,1,6,-1
83fb4584-7d29-4f3f-9df6-8e2ab04550d1,0,1,ST,3,0,2,8,-3
0acf8173-61df-45aa-84d2-a2891735ff6a,1,0,CU,0,1,2,4,0
4d830534-6546-4b3c-ab90-a4aae3765c0c,0,1,SL,2,0,2,4,5
dbb4eb12-f494-4254-855a-a20c5550bff4,1,1,CH,2,0,2,5,1
33a82154-847e-48c8-a533-64262b50abde,1,1,FF,2,2,2,1,0
63dffee7-c8b3-4636-a75c-31d46165227f,1,1,CH,2,2,2,1,1
e516a381-90e7-4fd8-9211-1400eadb4bbe,0,1,FF,3,2,2,10,2
46f9399c-2f5a-4dab-a9c0-7b72f32c85a1,0,1,CH,4,2,2,6,-3
678f72e3-3c2c-4b2c-a0a5-d3ab52108e76,1,1,SI,3,1,2,1,0
512bb467-3c3e-42de-8c20-53ac18ecba3b,0,0,SL,2,1,2,8,4
4f2dae94-f567-4402-b883-9d78ac336c76,0,0,FF,2,0,0,1,0
b2e9bd4e-a714-45e0-a3cf-6671a9e4197f,1,1,FF,1,0,1,1,0
a30aae46-9d7e-49e1-a4dc-514137d90315,1,1,CH,2,1,2,5,-3
fba21774-2cbb-47e7-8e67-692beef924f0,0,1,,0,2,1,3,0
96786d3f-eeb8-4528-af09-bf073a2dfa8b,0,1,FF,0,3,1,3,-2
