season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,post_rel_dist_avg
2018,1,609275,Adalberto Mondesi,29.9,1.72,,,,60.995999999999995,2.04,32,7,0.8157649182384165,0.007431548611341543,60.995999999999995
2018,2,609275,Adalberto Mondesi,29.9,1.65,,,,60.995999999999995,2.04,32,7,0.8157649182384165,0.007431548611341543,60.995999999999995
2018,3,571740,Billy Hamilton,30.1,1.68,,,,59.741727499999996,2.015,34,10,0.7733399265814351,-0.04234107887443406,59.741727499999996
2018,4,571740,Billy Hamilton,30.1,1.7,,,,59.741727499999996,2.015,34,10,0.7733399265814351,-0.04234107887443406,59.741727499999996
2018,5,608671,Travis Jankowski,29.0,1.66,,,,59.15275,2.05,24,7,0.7748237889580646,-0.006379673857395685,59.15275
2018,6,543829,Dee Strange-Gordon,29.0,1.69,,,,59.1136,2.08,30,12,0.7211416255849005,-0.0600618372305598,59.1136
2018,7,641553,Adam Engel,30.1,1.69,,,,59.069745,2.0025,16,8,0.6859881518100113,-0.12969285364585792,59.069745
2018,8,596115,Trevor Story,29.6,1.71,12.970051546,4.217072165,3.2439016653846156,58.8596,2.05,27,6,0.8129909579602718,0.01477988231609173,58.8596
2018,9,545361,Mike Trout,29.2,1.68,11.370782123,2.511715084,1.932088526153846,58.38686,2.03,24,2,0.8997953678222685,0.11340225260272674,58.38686
2018,10,660670,Ronald Acuña Jr.,29.6,1.68,12.019437956,3.908908759,3.0068528915384616,58.16622,1.995,16,5,0.7651406308650125,-0.03307044477916754,58.16622
2018,11,593700,Alen Hanson,28.4,1.7,,,,58.149,2.1,7,3,0.7262437601660217,-0.04226805667014699,58.149
2018,12,593700,Alen Hanson,28.4,1.76,,,,58.149,2.1,7,3,0.7262437601660217,-0.04226805667014699,58.149
2018,13,664056,Harrison Bader,30.0,1.73,11.804284211,2.279368421,1.7533603238461537,57.888,2.01,15,3,0.8214633218474054,0.009516078289953045,57.888
2018,14,607208,Trea Turner,30.1,1.73,11.411938596,3.574809942,2.7498538015384613,57.792,2.0,43,9,0.8226957263594793,0.0070147209036101055,57.792
2018,15,656185,Greg Allen,28.9,1.74,,,,57.622987499999994,2.045,21,4,0.8297885467496775,0.05100007818419905,57.622987499999994
