feature,coefficient,naylor_value,league_mean,diff,log_odds_contrib
reaction_quality_z,0.2912805827368279,1.0369964394164068,0.34672528609408065,0.6902711533223262,0.20106258378614947
pitcher_ttp_z,0.2634773679436967,0.5703447113730931,0.2534884580041525,0.3168562533689406,0.08348445165414954
lead_off_dist_z,0.022434518954487122,2.407703121214717,0.17313561089327636,2.234567510321441,0.05013144716538746
bolts_z,0.0020135485711558635,-0.4958021464364148,0.2042072000650834,-0.7000093465014982,-0.0014095028194438413
primary_lead_z,-0.03811624555182072,1.2145988689477505,-0.03312229954988048,1.247721168497631,-0.04755844643866038
catcher_pop_z,-0.2791861797764619,0.1801859233543581,0.002193590131201849,0.17799233322315625,-0.04969299954207201
maintain_30_90_z,-0.054178703501163904,2.853425573163371,-0.274404679842395,3.127830253005766,-0.16946178787956986
lead_gain_z,0.42811587211515756,-0.1554347664179608,0.3757729771821839,-0.5312077436001447,-0.22741846642570093
accel_0_30_z,-0.15868613643777285,1.6527546599530214,-0.2718365321959621,1.9245911921489836,-0.3054059405042895
speed_capped_z,0.19270056124306661,-4.835373366852027,0.2160392719667938,-5.05141263881882,-0.9734100505707067
