season,rank,runner_id,player_name,sprint_speed,SB_used,CS_used,real_sb_pct,sb_residual,r_primary_lead,r_secondary_lead,r_sec_minus_prim_lead,accel_0_30
2015,1,605141,Mookie Betts,28.7,21,6,0.7739782175898817,0.005116593937684044,12.429531646,18.071772152,5.642240506,1.74
2015,2,608070,José Ramírez,28.0,10,4,0.7245948927829587,-0.0319955152017789,12.295364583,17.327204861,5.031840278,1.74
2015,3,608070,José Ramírez,28.0,10,4,0.7245948927829587,-0.0319955152017789,12.295364583,17.327204861,5.031840278,1.72
2015,4,547180,Bryce Harper,27.7,6,4,0.6511535308584143,-0.10198977505569629,11.668186722,16.584941909,4.916755187,1.8
2015,5,592663,J.T. Realmuto,28.8,8,4,0.692194291933895,-0.07890355995681508,12.115241176,16.758,4.642758824,1.75
2015,6,593428,Xander Bogaerts,28.3,10,2,0.8098413507574245,0.0487166464870894,12.125084821,16.472763393,4.347678571,1.78
2015,7,543760,Marcus Semien,28.9,11,5,0.7032049029941054,-0.07024997649233655,12.177804233,15.796666667,3.618862434,1.72
2015,8,621043,Carlos Correa,28.3,14,4,0.7724914331685311,0.01136672889819601,10.345008299,13.944091286,3.599082988,1.77
2015,9,596019,Francisco Lindor,28.4,12,2,0.8298580506776956,0.0669803155977231,12.0631875,15.484669643,3.421482143,1.75
2015,10,596019,Francisco Lindor,28.4,12,2,0.8298580506776956,0.0669803155977231,12.0631875,15.484669643,3.421482143,1.72
2015,11,606466,Ketel Marte,28.1,8,4,0.692194291933895,-0.06578674878882262,9.871389474,13.264326316,3.392936842,1.75
2015,12,606466,Ketel Marte,28.1,8,4,0.692194291933895,-0.06578674878882262,9.871389474,13.264326316,3.392936842,1.72
2015,13,592518,Manny Machado,27.4,20,8,0.7202213019053398,-0.030562096153115004,11.762858491,15.068075472,3.305216981,1.78
2015,14,543807,George Springer,28.8,16,4,0.7906921185150486,0.019594266624338497,11.20488601,14.506658031,3.301772021,1.71
2015,15,592626,Joc Pederson,27.2,4,7,0.48545643517976345,-0.26435768776101476,10.410209945,13.692618785,3.28240884,1.76
2016,1,605141,Mookie Betts,27.9,26,4,0.8504943703678919,0.09517379576391571,12.429531646,18.071772152,5.642240506,1.74
2016,2,608070,José Ramírez,27.9,22,7,0.7578618518493004,0.0025412772453242694,12.295364583,17.327204861,5.031840278,1.77
2016,3,608070,José Ramírez,27.9,22,7,0.7578618518493004,0.0025412772453242694,12.295364583,17.327204861,5.031840278,1.72
2016,4,547180,Bryce Harper,27.3,21,10,0.6879806378576726,-0.06225772296333376,11.668186722,16.584941909,4.916755187,1.78
2016,5,595879,Javier Báez,28.8,12,3,0.7883651481438108,0.01726729625310064,10.957180952,15.654114286,4.696933333,1.75
2016,6,592663,J.T. Realmuto,28.8,12,4,0.7508239506131531,-0.020273901277557016,12.115241176,16.758,4.642758824,1.76
2016,7,593428,Xander Bogaerts,28.3,13,4,0.7621501346761916,0.0010254304058565644,12.125084821,16.472763393,4.347678571,1.77
2016,8,596115,Trevor Story,29.6,8,5,0.6537390534931231,-0.1395974011655734,12.970051546,17.187123711,4.217072165,1.73
2016,9,553993,Eugenio Suárez,27.4,11,5,0.7032049029941054,-0.04757849506434941,10.978256944,14.644986111,3.666729167,1.8
2016,10,543760,Marcus Semien,28.4,10,2,0.8098413507574245,0.046963615677452,12.177804233,15.796666667,3.618862434,1.76
2016,11,621043,Carlos Correa,28.0,13,3,0.7984429982322008,0.04185259024746313,10.345008299,13.944091286,3.599082988,1.78
2016,12,607208,Trea Turner,30.0,33,6,0.8356205218835503,0.02826558126760592,11.411938596,14.986748538,3.574809942,1.73
2016,13,596019,Francisco Lindor,27.1,19,5,0.785079412512973,0.035568728095204394,12.0631875,15.484669643,3.421482143,1.78
2016,14,596019,Francisco Lindor,27.1,19,5,0.785079412512973,0.035568728095204394,12.0631875,15.484669643,3.421482143,1.74
