runner_id,season,player_name,sprint_speed,bolts,accel_0_30,accel_5_30,maintain_30_90,total_90,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090,SB,CS,Name,r_primary_lead,r_secondary_lead,r_sec_minus_prim_lead,real_sb_attempts,era,speed_capped,real_sb_pct,expected_sb_pct,sb_residual,pct_speed,pct_accel,accel_gap,n_attempts,n_success,pct_in_HL,avg_pop_faced,avg_pitcher_prevent,pre_rel_vel_avg,post_rel_dist_avg,curve_a,curve_b,curve_c,curve_rmse,y,sb_residual_z,accel_gap_z,lead_gain_z,primary_lead_z,jump_z,speed_cap_z,pre_rel_vel_z,post_rel_dist_z,SSSI_v5,rank_v5
647304,2025,Josh Naylor,24.4,0.0,1.87,1.31,2.4399999999999995,4.31,0.0,0.56,0.88,1.16,1.41,1.65,1.87,2.08,2.29,2.5,2.69,2.89,3.08,3.28,3.47,3.67,3.87,4.09,4.31,30,2,Josh Naylor,9.807819572,13.682293578,3.874474006,32,post_2023,24.4,0.9160447676348735,0.7941977742373743,0.12184699339749927,1.912568306010929,13.114754098360656,11.202185792349727,1.0,1.0,0.0,1.91,,2.9803646199999996,41.47755999999999,-8.459752321981355e-05,0.050395897832817275,0.39566176470588327,0.03697238042572685,1,1.3404021317991202,0.6380164993556675,0.19567182269921296,-2.4860193008491844,-2.404679221160571,-6.472262941861944,0.1956718226215785,-3.800499667615509,1.99310254679878,1
647304,2026,Josh Naylor,24.5,0.0,1.84,1.28,2.34,4.18,0.0,0.56,0.87,1.15,1.39,1.62,1.84,2.05,2.26,2.45,2.65,2.84,3.03,3.22,3.4,3.59,3.79,3.98,4.18,12,2,Josh Naylor,9.807819572,13.682293578,3.874474006,14,post_2023,24.5,0.8365082317100171,0.7912178099255707,0.04529042178444642,1.9283746556473829,23.829201101928373,21.90082644628099,1.0,1.0,0.0,1.93,-0.0693448465565478,2.9803646199999996,42.792925,-9.664602683178466e-05,0.05030211558307527,0.38651960784313794,0.03127626748341419,1,0.4054664044157028,1.1665129074451388,0.19567182269921296,-2.4860193008491844,-1.6871465367322451,-6.277904065114481,0.1956718226215785,-3.3403464163077268,1.867726131440673,2
518692,2024,Freddie Freeman,25.8,0.0,1.81,1.27,2.36,4.17,0.0,0.54,0.85,1.12,1.37,1.6,1.81,2.02,2.22,2.42,2.61,2.8,2.99,3.17,3.36,3.55,3.74,3.95,4.17,9,2,Freddie Freeman,12.235060811,16.566962838,4.331902027,11,post_2023,25.8,0.8058535251556453,0.7633880789637351,0.04246544619191028,14.634146341463413,48.405253283302066,33.77110694183865,1.0,1.0,1.0,1.97,,3.3322323284615383,46.759919999999994,-8.655830753353897e-05,0.04917040763673883,0.3785049019607854,0.03622680983672182,1,0.3709668107845029,1.752886523294321,0.800626055165016,0.41235823400319904,-0.9696138523039193,-3.751238667397501,0.8006260548473639,-1.9525752294723573,1.3107618219208272,3
665742,2025,Juan Soto,25.8,0.0,1.85,1.2800000000000002,2.3299999999999996,4.18,0.0,0.57,0.88,1.16,1.4,1.63,1.85,2.06,2.26,2.46,2.65,2.84,3.02,3.21,3.4,3.59,3.78,3.97,4.18,38,4,Juan Soto,12.057989305,15.170080214,3.112090909,42,post_2023,25.8,0.8913543915423473,0.7633880789637351,0.12796631257861224,11.839708561020036,20.127504553734063,8.287795992714027,1.0,1.0,0.0,1.99,,2.393916083846154,46.20779999999999,-9.605263157894689e-05,0.05000219298245607,0.40125000000000005,0.033440798989214336,1,1.4151334057987215,0.4940501216912218,-0.8125892809434443,0.2009165088023192,-1.9263240982083536,-3.751238667397501,-0.8125892806210467,-2.1457229969072915,1.2610038082766273,4
676475,2024,Alec Burleson,25.5,0.0,1.88,1.31,2.3500000000000005,4.23,0.0,0.57,0.89,1.17,1.42,1.66,1.88,2.1,2.3,2.5,2.7,2.89,3.09,3.27,3.46,3.65,3.84,4.03,4.23,9,4,Alec Burleson,11.440550725,14.773561594,3.33301087,13,post_2023,25.5,0.7163142445827959,0.7680120050497168,-0.05169776046692087,10.600375234521577,11.44465290806754,0.8442776735459638,2.0,0.0,0.5,2.02,-0.0174945584268606,2.563854515384615,45.586349999999996,-0.00010825593395252762,0.051855005159958646,0.390098039215687,0.031480496689642985,0,-0.7789873245090787,0.1263517549101129,-0.5204198918645666,-0.5363691308238604,-2.643856782636674,-4.334315297639882,-0.520419891658089,-2.36312443150926,1.1758739934521407,5
592518,2024,Manny Machado,25.8,0.0,1.86,1.3,2.3,4.16,0.0,0.56,0.89,1.16,1.41,1.64,1.86,2.07,2.27,2.47,2.66,2.85,3.03,3.22,3.4,3.59,3.77,3.96,4.16,11,2,Manny Machado,11.762858491,15.068075472,3.305216981,13,post_2023,25.8,0.827425355693907,0.7633880789637351,0.0640372767301719,14.634146341463413,19.230769230769234,4.59662288930582,4.0,3.0,0.75,1.99,-0.009866388624775235,2.5424746007692307,45.95108999999999,-0.00010874613003095964,0.05104295665634672,0.39232843137254886,0.03359414861944609,1,0.6344095780131592,0.3117118424752651,-0.5571776548684089,-0.15150026271426661,-2.165501659684462,-3.751238667397501,-0.5571776546473473,-2.235527683167926,1.1689642542651957,6
592626,2024,Joc Pederson,25.5,0.0,1.83,1.28,2.34,4.17,0.0,0.55,0.87,1.14,1.38,1.61,1.83,2.04,2.24,2.44,2.63,2.82,3.01,3.19,3.38,3.57,3.76,3.97,4.17,7,4,Joc Pederson,10.410209945,13.692618785,3.28240884,11,post_2023,25.5,0.6808535251556453,0.7680120050497168,-0.08715847989407144,10.600375234521577,34.52157598499062,23.92120075046904,3.0,3.0,0.3333333333333333,1.9733333333333334,0.5062574261195527,2.524929876923077,45.791199999999996,-9.169246646026767e-05,0.04966434468524246,0.387303921568628,0.034306611381063605,0,-1.2120460784816722,1.266316293435797,-0.5873417042907919,-1.7667027795816632,-1.4479689752561364,-4.334315297639882,-0.5873417040577622,-2.291461894091586,1.1247035719219642,7
647304,2023,Josh Naylor,25.8,0.0,1.83,1.28,2.33,4.16,0.0,0.55,0.87,1.14,1.39,1.61,1.83,2.04,2.24,2.44,2.63,2.82,3.01,3.19,3.38,3.57,3.75,3.96,4.16,10,3,Josh Naylor,9.807819572,13.682293578,3.874474006,13,post_2023,25.8,0.7718698001383514,0.7633880789637351,0.008481721174616319,12.702702702702704,36.126126126126124,23.423423423423422,2.0,2.0,1.0,1.91,-0.2346753009088596,2.9803646199999996,44.84298,-9.504643962848235e-05,0.049867389060887446,0.386372549019609,0.033941139010439735,0,-0.04405436896258701,1.2417268583961858,0.19567182269921296,-2.4860193008491844,-1.4479689752561364,-3.751238667397501,0.1956718226215785,-2.6231770575291584,1.0685351323353023,8
670770,2024,TJ Friedl,26.5,0.0,1.77,1.23,2.27,4.04,0.0,0.54,0.84,1.1,1.34,1.56,1.77,1.97,2.16,2.36,2.54,2.73,2.91,3.09,3.27,3.45,3.64,3.83,4.04,9,1,TJ Friedl,11.792067265,15.67229148,3.880224215,10,post_2023,26.5,0.8595770934993551,0.7567949969778294,0.1027820965215257,25.422138836772984,71.76360225140714,46.34146341463415,2.0,2.0,0.5,2.0,,2.9847878576923077,49.81999999999999,-8.653250773993777e-05,0.047807791537667656,0.3792647058823534,0.03245881551652339,1,1.1075749185022654,2.3738428166375796,0.20327654543681095,-0.11662196012862804,-0.012903606399484855,-2.390726530165283,0.2032765453561596,-0.8820695057668374,0.9510003209970996,9
656941,2022,Kyle Schwarber,26.4,0.0,1.82,1.27,2.2799999999999994,4.1,0.0,0.55,0.87,1.14,1.38,1.61,1.82,2.03,2.23,2.42,2.61,2.8,2.99,3.17,3.35,3.53,3.72,3.91,4.1,10,1,Kyle Schwarber,11.027303483,15.459552239,4.432248756,11,pre_2023,26.4,0.8683535251556453,0.7573772019288398,0.1109763232268055,26.91637630662021,47.73519163763066,20.818815331010452,1.0,0.0,1.0,2.0,,3.40942212,48.31199999999999,-0.00010180598555211539,0.04990892672858615,0.38475490196078443,0.03208002442293736,1,1.207645691574073,1.1130632210381803,0.933335849134216,-1.0298291558545667,-1.208791413780028,-2.585085406912746,0.9333358487639111,-1.4096121292760029,0.9471186869471225,10
