season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,pre_rel_vel_avg
2018,1,605141,Mookie Betts,28.1,1.75,12.429531646,5.642240506,4.3401850046153845,53.12305,1.99,30,6,0.826674546402203,0.06289006498714556,4.3401850046153845
2018,2,608070,José Ramírez,27.4,1.74,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420812533886738,0.08513114240815234,3.8706463676923075
2018,3,608070,José Ramírez,27.4,1.76,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420812533886738,0.08513114240815234,3.8706463676923075
2018,4,547180,Bryce Harper,27.5,1.78,11.668186722,4.916755187,3.7821193746153843,52.4535,2.04,13,3,0.8044598286900155,0.04689304298010799,3.7821193746153843
2018,5,595879,Javier Báez,28.8,1.76,10.957180952,4.696933333,3.6130256407692305,54.568079999999995,2.005,21,9,0.7112473257854379,-0.06524603649809979,3.6130256407692305
2018,6,643396,Isiah Kiner-Falefa,28.0,1.77,12.344880734,4.535688073,3.4889908253846156,52.508399999999995,1.9949999999999999,7,5,0.6408033177935486,-0.12164516108388512,3.4889908253846156
2018,7,518692,Freddie Freeman,26.7,1.8,12.235060811,4.331902027,3.3322323284615383,50.38289999999999,2.04,10,3,0.7718698001383514,0.015879549158423267,3.3322323284615383
2018,8,641343,Jake Bauers,27.8,1.78,11.678393258,4.22547191,3.250363007692308,50.42642,1.94,6,6,0.5819797883817839,-0.1781563493245204,3.250363007692308
2018,9,606192,Teoscar Hernández,28.6,1.79,12.779433198,4.224502024,3.249616941538462,52.265069999999994,1.9649999999999999,5,5,0.5929104268326884,-0.17935238679108578,3.249616941538462
2018,10,596115,Trevor Story,29.6,1.71,12.970051546,4.217072165,3.2439016653846156,58.8596,2.05,27,6,0.8129909579602718,0.01477988231609173,3.2439016653846156
2018,11,660162,Yoán Moncada,28.8,1.74,12.317113333,4.00746,3.0826615384615383,55.67664,2.0033333333333334,12,6,0.6910285392387098,-0.08546482304482794,3.0826615384615383
2018,12,660162,Yoán Moncada,28.8,1.72,12.317113333,4.00746,3.0826615384615383,55.67664,2.0033333333333334,12,6,0.6910285392387098,-0.08546482304482794,3.0826615384615383
2018,13,593871,Jorge Polanco,28.4,1.79,12.317263158,3.988017544,3.067705803076923,52.42782,1.9849999999999999,7,7,0.5733503369731751,-0.1951614798629936,3.067705803076923
2018,14,593871,Jorge Polanco,28.4,1.78,12.317263158,3.988017544,3.067705803076923,52.42782,1.9849999999999999,7,7,0.5733503369731751,-0.1951614798629936,3.067705803076923
2018,15,660670,Ronald Acuña Jr.,29.6,1.68,12.019437956,3.908908759,3.0068528915384616,58.16622,1.995,16,5,0.7651406308650125,-0.03307044477916754,3.0068528915384616
2019,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,4.3401850046153845,53.186699999999995,2.0066666666666664,16,3,0.8289023501037636,0.0676699857959151,4.3401850046153845
2019,2,608070,José Ramírez,27.9,1.75,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452623152269796,0.08402995091913112,3.8706463676923075
2019,3,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452623152269796,0.08402995091913112,3.8706463676923075
2019,4,547180,Bryce Harper,28.3,1.76,11.668186722,4.916755187,3.7821193746153843,53.0858475,1.9849999999999999,15,3,0.8214633218474054,0.05464717145298015,3.7821193746153843
2019,5,665487,Fernando Tatis Jr.,29.3,1.75,11.307440154,4.53011583,3.4847044846153845,55.67,2.0,16,6,0.7368020889811232,-0.05236568439251832,3.4847044846153845
2019,6,500743,Miguel Rojas,26.3,1.84,12.167167785,4.370013423,3.3615487869230765,45.698879999999996,1.92,9,5,0.6786134948679119,-0.07946579997997771,3.3615487869230765
2019,7,542303,Marcell Ozuna,27.4,1.86,10.24402027,4.274513514,3.288087318461538,48.06507999999999,1.96,12,2,0.8365082317100171,0.07955812072949564,3.288087318461538
2019,8,596115,Trevor Story,29.2,1.7,12.970051546,4.217072165,3.2439016653846156,56.0859,1.97,23,8,0.7470460111802868,-0.03934710403925501,3.2439016653846156
2019,9,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718698001383514,0.011733662432047098,3.0826615384615383
2019,10,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718698001383514,0.011733662432047098,3.0826615384615383
2019,11,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.8018364000488298,0.01266862667518831,3.0068528915384616
2019,12,621020,Dansby Swanson,28.7,1.77,12.11732973,3.770048649,2.900037422307692,54.225779999999986,2.01,10,5,0.6946828201245163,-0.07963532384511907,2.900037422307692
